,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,17.0,43.37,52.1,79.81,79.92,,,,,
low,11.95,13.0,15.25,46.96,38.41,,,,,
change,-0.058600000000000006,0.8473,0.7963,0.1187,0.16280000000000003,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,221.0,213.0,203.0,241.0,Balance Sheet
Short Term Investments,,,,,,,,10.0,109.0,Balance Sheet
Cash and Short Term Invs,,,,,,221.0,213.0,213.0,350.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,29.0,28.0,36.0,37.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,,,,29.0,27.0,36.0,37.0,Balance Sheet
Total Inventory,,,,,,65.0,62.0,58.0,58.0,Balance Sheet
Prepaid Expenses,,,,,,6.0,5.0,5.0,5.0,Balance Sheet
Total Current Assets,,,,,,321.0,307.0,313.0,449.0,Balance Sheet
Buildings,,,,,,4.0,4.0,4.0,4.0,Balance Sheet
Machinery/Equipment,,,,,,2.0,3.0,3.0,3.0,Balance Sheet
Construction in Progress,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,13.0,13.0,13.0,13.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,20.0,20.0,20.0,21.0,Balance Sheet
Accumulated Depreciation,,,,,,-6.0,-6.0,-7.0,-7.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,14.0,14.0,14.0,14.0,Balance Sheet
"Goodwill, Net",,,,,,106.0,103.0,95.0,87.0,Balance Sheet
Intangibles - Gross,,,,,,,117.0,117.0,117.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-15.0,-25.0,-35.0,Balance Sheet
Intangibles - Net,,,,,,106.0,101.0,92.0,82.0,Balance Sheet
Other Long Term Assets,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Assets,,,,,,548.0,526.0,514.0,632.0,Balance Sheet
Accounts Payable,,,,,,8.0,10.0,10.0,10.0,Balance Sheet
Accrued Expenses,,,,,,19.0,15.0,20.0,20.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,0.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,,,31.0,Balance Sheet
Total Current Liabilities,,,,,,27.0,26.0,30.0,61.0,Balance Sheet
Total Long Term Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Deferred Income Tax,,,,,,19.0,18.0,16.0,14.0,Balance Sheet
"Other Liabilities, Total",,,,,,19.0,19.0,31.0,8.0,Balance Sheet
Total Liabilities,,,,,,66.0,62.0,76.0,83.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,804.0,812.0,821.0,961.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-315.0,-337.0,-359.0,-375.0,Balance Sheet
"Other Equity, Total",,,,,,-7.0,-11.0,-24.0,-36.0,Balance Sheet
Total Equity,,,,,,482.0,463.0,438.0,550.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,548.0,526.0,514.0,632.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,46.0,47.0,47.0,49.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,53135.0,48420.0,68980.0,70384.0,Income Statement
"Cost of Revenue, Total",,,,,,17744.0,15178.0,18784.0,19124.0,Income Statement
Selling/Gen/Admin Expense,,,,,,35443.0,34248.0,37500.0,36656.0,Income Statement
Labor & Related Expense,,,,,,5299.0,5628.0,6153.0,6484.0,Income Statement
Advertising Expense,,,,,,,3200.0,6300.0,6000.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,40742.0,43076.0,49953.0,49140.0,Income Statement
Research & Development,,,,,,10182.0,11236.0,7135.0,7936.0,Income Statement
Depreciation/Amortization,,,,,,2147.0,2463.0,2332.0,2317.0,Income Statement
Unusual Expense (Income),,,,,,0.0,0.0,12205.0,8242.0,Income Statement
Total Operating Expense,,,,,,70815.0,71953.0,90409.0,86759.0,Income Statement
Total Operating Income,,,,,,-17680.0,-23533.0,-21429.0,-16375.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-289.0,-839.0,-1898.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,16.0,43.0,360.0,1501.0,Income Statement
Gain(Loss)on Sale of Assets,,,,,,-91.0,,,,Income Statement
"Other, Net",,,,,,102.0,,,,Income Statement
Income Before Tax,,,,,,-17653.0,-23779.0,-21908.0,-16772.0,Income Statement
Income Tax - Total,,,,,,-2487.0,-1111.0,-465.0,-520.0,Income Statement
Income After Tax,,,,,,-15166.0,-22668.0,-21443.0,-16252.0,Income Statement
Net Inc Before Extra Items,,,,,,-15166.0,-22668.0,-21443.0,-16252.0,Income Statement
Total Net Income,,,,,,-15166.0,-22668.0,-21443.0,-16252.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-15166.0,-22668.0,-21443.0,-16252.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-15166.0,-22668.0,-21443.0,-16252.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,44981.0,45139.0,45311.0,47208.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-0.34,-0.5,-0.47,-0.34,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-0.34,-0.5,-0.47,-0.34,Income Statement
Diluted Weighted Average Shares,,,,,,44981.0,45139.0,45311.0,47208.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-0.34,-0.5,-0.47,-0.34,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-0.34,-0.5,-0.47,-0.34,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,289.0,839.0,1898.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,500.0,600.0,500.0,600.0,Income Statement
Total Special Items,,,,,,91.0,0.0,12205.0,8242.0,Income Statement
Normalzd Income Before Tax,,,,,,-17562.0,-23779.0,-9703.0,-8530.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,32.0,0.0,4272.0,2885.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,-2455.0,-1111.0,3807.0,2365.0,Income Statement
Normalized Income After Tax,,,,,,-15107.0,-22668.0,-13510.0,-10895.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-15107.0,-22668.0,-13510.0,-10895.0,Income Statement
Basic Normalized EPS,,,,,,-0.34,-0.5,-0.3,-0.23,Income Statement
Diluted Normalized EPS,,,,,,-0.34,-0.5,-0.3,-0.23,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,-80067.0,-22668.0,-44111.0,-60363.0,Cash Flow
Depreciation/Depletion,,,,,,9126.0,3029.0,5920.0,8841.0,Cash Flow
Unusual Items,,,,,,2831.0,,12030.0,20130.0,Cash Flow
Other Non-Cash Items,,,,,,30615.0,5889.0,13355.0,21574.0,Cash Flow
Non-Cash Items,,,,,,33446.0,5889.0,25385.0,41704.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,1.0,0.0,639.0,644.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,2178.0,1.0,1.0,1.0,Cash Flow
Accounts Receivable,,,,,,-8998.0,1595.0,-7260.0,-8220.0,Cash Flow
Inventories,,,,,,-1108.0,3015.0,6220.0,6256.0,Cash Flow
Prepaid Expenses,,,,,,-940.0,1474.0,1514.0,1836.0,Cash Flow
Other Assets,,,,,,-225.0,-25.0,17.0,98.0,Cash Flow
Accounts Payable,,,,,,-2862.0,2529.0,2153.0,2517.0,Cash Flow
Accrued Expenses,,,,,,4322.0,-4005.0,153.0,1169.0,Cash Flow
Changes in Working Capital,,,,,,-9811.0,4583.0,2797.0,3656.0,Cash Flow
Total Cash from Operations,,,,,,-47306.0,-9167.0,-10009.0,-6162.0,Cash Flow
Capital Expenditures,,,,,,-2261.0,-291.0,-925.0,-1888.0,Cash Flow
Acquisition of Business,,,,,,-140741.0,,,,Cash Flow
Sale of Business,,,,,,,0.0,0.0,0.0,Cash Flow
Sale/Maturity of Investment,,,,,,0.0,,,20000.0,Cash Flow
Purchase of Investments,,,,,,0.0,,-9998.0,-128436.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,-140741.0,0.0,-9998.0,-108436.0,Cash Flow
Total Cash from Investing,,,,,,-143002.0,-291.0,-10923.0,-110324.0,Cash Flow
Financing Cash Flow Items,,,,,,-11378.0,0.0,0.0,-192.0,Cash Flow
"Common Stock, Net",,,,,,201250.0,,0.0,128498.0,Cash Flow
Options Exercised,,,,,,6757.0,1444.0,1924.0,5501.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,208007.0,1444.0,1924.0,133999.0,Cash Flow
Long Term Debt Issued,,,,,,75000.0,0.0,0.0,0.0,Cash Flow
Long Term Debt Reduction,,,,,,-101116.0,0.0,0.0,0.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,-26116.0,0.0,0.0,0.0,Cash Flow
Total Cash From Financing,,,,,,170513.0,1444.0,1924.0,133807.0,Cash Flow
Foreign Exchange Effects,,,,,,-508.0,316.0,1366.0,3132.0,Cash Flow
Net Change in Cash,,,,,,-20303.0,-7698.0,-17642.0,20453.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,241181.0,220878.0,220878.0,220878.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,220878.0,213180.0,203236.0,241331.0,Cash Flow
"Depreciation, Supplemental",,,,,,9126.0,3029.0,5920.0,8841.0,Cash Flow
Free Cash Flow,,,,,,-49567.0,-9458.0,-10934.0,-8050.0,
FCF Growth,,,,,,,-0.8091875643068978,0.1560583632903363,-0.26376440460947503,
