,AXNX
% Below High,0.1779
% Held by Institutions,1.0326
52-Wk Range,['38.41 - 79.92']
Annual Dividend $,
Annual Dividend %,
Ask,66.03
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,0.4
Bid,65.37
Bid Size,600.0
Closing Price,65.7
Day Change $,0.74
Day Change %,0.011399999999999999
Day High,66.0
Day Low,64.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.66
Ex-dividend Date,No dividend
Historical Volatility,0.609
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,3.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,64.96
Short Interest,0.0652
Today's Open,64.95
Volume,116357.0
Volume 10-day Avg,438724.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.14646464646464652
Growth 1yr High Est,-0.15340909090909094
Growth 1yr Consensus Est,-0.14993686868686873
Growth 2yr Low Est,-0.14719682027374337
Growth 2yr High Est,-0.4256978340451495
Growth 2yr Consensus Est,-0.28644732715944643
Growth 5yr Low Est,-0.11708211941005467
Growth 5yr High Est,-0.26941154207259477
Growth 5yr Consensus Est,-0.1932468307413247
Growth 5yr Actual/Est,-0.1901443804669611
Growth 3yr Historic,-0.053667953667953655
Price/Earnings (TTM),
Price/Sales (TTM),13.50711
Price/Book (MRQ),5.91575
Price/Cash Flow (TTM),
5yr Low,11.95
5yr High,79.92
5yr Avg Return,0.37329999999999997
Short Int Current Month,3205230.0
Short Int Prev Month,3305568.0
Short Int Pct of Float,0.0652442
Days to Cover,4.79772
Float,47.10168
Shares Outstanding,49.52997
Institutions Holding Shares,312.0
FCF Growth 5yr,-0.3056312018753455
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.706
Operating Profit Margin (TTM),-0.32799999999999996
Net Profit Margin (TTM),-0.3135
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2725
EPS Growth (TTM),0.0954
Revenue Growth (MRQ),0.0204
Revenue Growth (TTM),0.4877
Return On Equity (TTM),-0.14529999999999998
Return On Assets (TTM),-0.1266
Return On Investment (TTM),-0.13670000000000002
Revenue Per Employee (TTM),465994.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),6.44
Interest Coverage (MRQ),-20.49
cfra,
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
theStreet since,2022-11-01 00:00:00
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
