,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,11.2,12.81,5.03,,,,,
low,9.97,4.15,1.38,,,,,
change,0.054000000000000006,-0.5760000000000001,-0.6067,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,271.0,253.0,212.0,203.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,109.0,102.0,107.0,107.0,Balance Sheet
Prov. for Doubtful Accts,,,,-6.0,-7.0,-8.0,-7.0,Balance Sheet
"Trade Accts Recvble, Net",,,,103.0,95.0,99.0,100.0,Balance Sheet
Other Receivables,,,,5.0,3.0,3.0,2.0,Balance Sheet
"Total Receivables, Net",,,,109.0,98.0,102.0,102.0,Balance Sheet
Prepaid Expenses,,,,9.0,12.0,12.0,12.0,Balance Sheet
"Other Curr. Assets, Total",,,,2.0,3.0,2.0,2.0,Balance Sheet
Total Current Assets,,,,391.0,366.0,328.0,319.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,5.0,4.0,5.0,5.0,Balance Sheet
"Goodwill, Net",,,,192.0,192.0,191.0,191.0,Balance Sheet
Intangibles - Gross,,,,284.0,295.0,304.0,325.0,Balance Sheet
Accum. Intangible Amort.,,,,-129.0,-138.0,-148.0,-159.0,Balance Sheet
Intangibles - Net,,,,155.0,157.0,157.0,166.0,Balance Sheet
Other Long Term Assets,,,,12.0,20.0,20.0,29.0,Balance Sheet
Total Assets,,,,755.0,739.0,701.0,711.0,Balance Sheet
Accounts Payable,,,,27.0,27.0,21.0,12.0,Balance Sheet
Accrued Expenses,,,,52.0,53.0,40.0,62.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,0.0,1.0,1.0,1.0,Balance Sheet
Customer Advances,,,,16.0,16.0,14.0,13.0,Balance Sheet
Income Taxes Payable,,,,,1.0,1.0,1.0,Balance Sheet
"Other Curr. Lblts, Total",,,,16.0,17.0,15.0,14.0,Balance Sheet
Total Current Liabilities,,,,95.0,98.0,77.0,90.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,1.0,1.0,1.0,Balance Sheet
Minority Interest,,,,2.0,2.0,1.0,1.0,Balance Sheet
