,SHCR
% Above Low,0.2873
% Held by Institutions,0.4497
52-Wk Range,['1.38 - 6.54']
Annual Dividend $,
Annual Dividend %,
Ask,1.77
Ask Size,2100.0
B/A Ratio,0.7142857142857143
B/A Size,1500x2100
Beta,
Bid,1.77
Bid Size,1500.0
Day Change $,-0.03
Day Change %,-0.0167
Day High,1.81
Day Low,1.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.24
Ex-dividend Date,No dividend
Historical Volatility,0.8959999999999999
Last (size),100.0
Last (time),2:10p ET 11/28/22
Market Cap,624.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.8
Price,1.77
Short Interest,0.0541
Today's Open,1.78
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-30 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.3823529411764707
Growth 2yr High Est,0.6666666666666667
Growth 2yr Consensus Est,0.14215686274509803
Growth 5yr Low Est,-0.3823529411764707
Growth 5yr High Est,0.6666666666666667
Growth 5yr Consensus Est,0.14215686274509803
Growth 5yr Actual/Est,-0.2782051282051282
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.45189
Price/Book (MRQ),1.1892
Price/Cash Flow (TTM),
5yr Low,1.38
5yr High,12.81
5yr Avg Return,-0.37623333333333336
Short Int Current Month,15206640.0
Short Int Prev Month,11367678.0
Short Int Pct of Float,0.054118000000000006
Days to Cover,7.79521
Float,317.8478
Shares Outstanding,353.52
Institutions Holding Shares,148.0
FCF Growth 5yr,0.5137071436271496
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4889
Operating Profit Margin (TTM),-0.3428
Net Profit Margin (TTM),-0.1943
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0637
EPS Growth (TTM),0.633
Revenue Growth (MRQ),0.10400000000000001
Revenue Growth (TTM),0.14529999999999998
Return On Equity (TTM),-0.1557
Return On Assets (TTM),-0.114
Return On Investment (TTM),-0.12990000000000002
Revenue Per Employee (TTM),133663.0
Total Debt/Total Capital (MRQ),0.0016
Change in Debt/Total Capital Quarter over Quarter,0.032799999999999996
Quick Ratio (MRQ),
Interest Coverage (MRQ),-68.72
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-11-25 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
