,AVNW
% Below High,0.0839
% Held by Institutions,0.7463
52-Wk Range,['23.88 - 35.18']
Annual Dividend $,
Annual Dividend %,
Ask,35.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.7
Bid,32.0
Bid Size,100.0
Closing Price,32.23
Day Change $,0.57
Day Change %,0.018000000000000002
Day High,32.35
Day Low,31.47
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.15
Ex-dividend Date,No dividend
Historical Volatility,0.433
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,364.8M
"P/E Ratio (TTM, GAAP)",28.07
Prev Close,31.66
Short Interest,0.031200000000000002
Today's Open,31.47
Volume,18599.0
Volume 10-day Avg,54580.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.16165413533834583
Growth 1yr High Est,0.18279569892473102
Growth 1yr Consensus Est,0.17222491713153842
Growth 2yr Low Est,0.14069761783098522
Growth 2yr High Est,0.13533724340175945
Growth 2yr Consensus Est,0.13801743061637234
Growth 5yr Low Est,0.1580734492565313
Growth 5yr High Est,0.14929655889231222
Growth 5yr Consensus Est,0.15368500407442176
Growth 5yr Actual/Est,0.6135858596086214
Growth 3yr Historic,0.5487307871448532
Price/Earnings (TTM),28.06636
Price/Sales (TTM),1.17295
Price/Book (MRQ),1.79686
Price/Cash Flow (TTM),19.78993
5yr Low,3.55
5yr High,43.76
5yr Avg Return,0.35979999999999995
EPS Growth 5yr,
Revenue Growth 5yr,0.0460656
Dividend Growth 5yr,
Short Int Current Month,327375.0
Short Int Prev Month,309516.0
Short Int Pct of Float,0.0312263
Days to Cover,3.15305
Float,11.05726
Shares Outstanding,11.32011
Institutions Holding Shares,162.0
FCF Growth 5yr,-7.239569334807417
"Price/Earnings (TTM, GAAP)",28.07
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.36200000000000004
Operating Profit Margin (TTM),0.08310000000000001
Net Profit Margin (TTM),0.0441
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.6348
EPS Growth (TTM),-0.8753000000000001
Revenue Growth (MRQ),0.0495
Revenue Growth (TTM),0.1039
Return On Equity (TTM),0.0709
Return On Assets (TTM),0.0432
Return On Investment (TTM),0.0652
Revenue Per Employee (TTM),489076.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.46
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2020-11-23 00:00:00
marketEdge opinion since,
