,CTS
% Below High,0.071
% Held by Institutions,0.9653
52-Wk Range,['31.07 - 45.22']
Annual Dividend $,0.16
Annual Dividend %,0.0038
Ask,42.33
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,
Bid Size,
Closing Price,42.01
Day Change $,-0.23
Day Change %,-0.0054
Day High,42.38
Day Low,41.54
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",1.67
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.387
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,1.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.17
Prev Close,42.24
Short Interest,0.0191
Today's Open,41.62
Volume,59677.0
Volume 10-day Avg,115069.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.2962962962962965
Growth 1yr High Est,0.27979274611398974
Growth 1yr Consensus Est,0.2880445212051431
Growth 2yr Low Est,0.15018896447467878
Growth 2yr High Est,0.1965765350003147
Growth 2yr Consensus Est,0.17338274973749673
Growth 5yr Low Est,0.1602008652160628
Growth 5yr High Est,0.18104688818981252
Growth 5yr Consensus Est,0.17062387670293766
Growth 5yr Actual/Est,0.20780377188439056
Growth 3yr Historic,0.12390701970443349
Price/Earnings (TTM),25.17152
Price/Sales (TTM),2.32062
Price/Book (MRQ),2.72811
Price/Cash Flow (TTM),16.28772
5yr Low,17.92
5yr High,45.22
5yr Avg Return,0.07441666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.052744400000000004
Dividend Growth 5yr,0.0
Short Int Current Month,597423.0
Short Int Prev Month,529814.0
Short Int Pct of Float,0.019142
Days to Cover,3.8066
Float,31.21322
Shares Outstanding,31.87989
Institutions Holding Shares,270.0
FCF Growth 5yr,0.6866128320077441
"Price/Earnings (TTM, GAAP)",25.17
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3608
Operating Profit Margin (TTM),0.15560000000000002
Net Profit Margin (TTM),0.0932
Annual Dividend Yield,0.0038
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.059000000000000004
EPS Growth (TTM),2.4908
Revenue Growth (MRQ),0.0478
Revenue Growth (TTM),0.1464
Return On Equity (TTM),0.1135
Return On Assets (TTM),0.0776
Return On Investment (TTM),0.0928
Revenue Per Employee (TTM),151078.0
Total Debt/Total Capital (MRQ),0.1484
Change in Debt/Total Capital Quarter over Quarter,0.005200000000000001
Quick Ratio (MRQ),2.16
Interest Coverage (MRQ),132.21
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-16 00:00:00
ford since,2022-09-16 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-11 00:00:00
