,AYX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),4.17,9.39,Valuation,0.4440894568690095
Price/Book (MRQ),19.41,12.63,Valuation,1.5368171021377672
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.8592000000000001,0.7206,Profitability,1.1923397169025813
Operating Profit Margin (TTM),-0.3933,0.2172,Profitability,-1.8107734806629834
Net Profit Margin (TTM),-0.4455,0.1553,Profitability,-2.8686413393432066
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.3058,-0.0752,Gowth rates,-4.066489361702128
EPS Growth (TTM),-1.6672,-0.2824,Gowth rates,5.903682719546743
Revenue Growth (MRQ),0.1943,0.15560000000000002,Gowth rates,1.248714652956298
Revenue Growth (TTM),0.3925,0.1906,Gowth rates,2.0592864637985313
Return On Equity (TTM),-1.1473,0.2189,Effectiveness,-5.241206030150753
Return On Assets (TTM),-0.22390000000000002,0.10740000000000001,Effectiveness,-2.0847299813780262
Return On Investment (TTM),-0.2926,0.1387,Effectiveness,-2.109589041095891
Revenue Per Employee (TTM),364041.0,667721.0,Effectiveness,0.5451992673586723
Total Debt/Total Capital (MRQ),0.8488,0.39659999999999995,Financial strength,2.140191628845184
Change in Debt/Total Capital Quarter over Quarter,0.002,0.0004,Financial strength,5.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-26.06,0.28,Financial strength,-93.07142857142856
