,LNC
% Above Low,0.19210000000000002
% Held by Institutions,0.7911
52-Wk Range,['32.59 - 76.40']
Annual Dividend $,1.8
Annual Dividend %,0.0463
Ask,38.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,38.0
Bid Size,100.0
Closing Price,38.85
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-02-01 00:00:00
"EPS (TTM, GAAP)",-11.67
Ex-dividend,2023-01-09 00:00:00
Ex-dividend Date,01/09/23
Historical Volatility,0.6020000000000001
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,6.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,38.85
Short Interest,0.0269
Today's Open,
Volume,573475.0
Volume 10-day Avg,2502760.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-1.5467980295566504
Growth 1yr High Est,-1.437070938215103
Growth 1yr Consensus Est,-1.4919344838858768
Growth 2yr Low Est,-2.172047663426974
Growth 2yr High Est,-2.527435992667761
Growth 2yr Consensus Est,-2.3497418280473674
Growth 5yr Low Est,-0.9466568337727581
Growth 5yr High Est,-1.119916285224477
Growth 5yr Consensus Est,-1.0332865594986176
Growth 5yr Actual/Est,-1.0498688104019493
Growth 3yr Historic,0.12647147474003245
Price/Earnings (TTM),
Price/Sales (TTM),0.34254
Price/Book (MRQ),2.96526
Price/Cash Flow (TTM),
5yr Low,16.11
5yr High,86.68
5yr Avg Return,-0.06560000000000002
EPS Growth 5yr,0.0926618
Revenue Growth 5yr,0.0740846
Dividend Growth 5yr,0.1093328
Short Int Current Month,4121960.0
Short Int Prev Month,3876434.0
Short Int Pct of Float,0.0269218
Days to Cover,1.07864
Float,153.1213
Shares Outstanding,169.2155
Institutions Holding Shares,853.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.11050000000000001
Net Profit Margin (TTM),-0.1048
Annual Dividend Yield,0.0463
Dividend Change %,0.05
"Dividend Growth Rate, 3 Years",0.0837
EPS Growth (MRQ),-12.006300000000001
EPS Growth (TTM),-2.7326
Revenue Growth (MRQ),-0.06
Revenue Growth (TTM),0.0229
Return On Equity (TTM),-0.1721
Return On Assets (TTM),-0.005699999999999999
Return On Investment (TTM),
Revenue Per Employee (TTM),1769174.0
Total Debt/Total Capital (MRQ),0.7445
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),-33.63
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-03 00:00:00
theStreet since,2022-11-03 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-11-04 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
