,LNC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,19.05,Valuation,
Price/Sales (TTM),0.34,2.31,Valuation,0.1471861471861472
Price/Book (MRQ),2.97,3.65,Valuation,0.8136986301369864
"PEG Ratio (TTM, GAAP)",,6.78,Valuation,
Gross Profit Margin (TTM),,0.0207,Profitability,
Operating Profit Margin (TTM),-0.11050000000000001,0.1342,Profitability,-0.823397913561848
Net Profit Margin (TTM),-0.1048,0.1081,Profitability,-0.969472710453284
Annual Dividend Yield,0.0463,0.0167,Dividend,2.7724550898203595
Dividend Change %,0.05,-0.004,Dividend,-12.5
"Dividend Growth Rate, 3 Years",0.0837,0.0233,Dividend,3.5922746781115875
EPS Growth (MRQ),-12.006300000000001,-0.11750000000000001,Gowth rates,102.18127659574469
EPS Growth (TTM),-2.7326,-0.0281,Gowth rates,97.24555160142349
Revenue Growth (MRQ),-0.06,0.0922,Gowth rates,-0.6507592190889371
Revenue Growth (TTM),0.0229,0.0431,Gowth rates,0.531322505800464
Return On Equity (TTM),-0.1721,0.35479999999999995,Effectiveness,-0.4850620067643744
Return On Assets (TTM),-0.005699999999999999,0.031200000000000002,Effectiveness,-0.18269230769230765
Return On Investment (TTM),,0.032,Effectiveness,
Revenue Per Employee (TTM),1769174.0,1270541.0,Effectiveness,1.3924572288497576
Total Debt/Total Capital (MRQ),0.7445,0.38939999999999997,Financial strength,1.9119157678479715
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002,0.0019,Financial strength,0.6842105263157896
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),-33.63,10.36,Financial strength,-3.2461389961389964
