,HRL
% Below High,0.10339999999999999
% Held by Institutions,0.4056
52-Wk Range,['41.25 - 55.11']
Annual Dividend $,1.1
Annual Dividend %,0.0223
Ask,49.97
Ask Size,1200.0
B/A Ratio,0.08333333333333333
B/A Size,100x1200
Beta,0.2
Bid,47.87
Bid Size,100.0
Closing Price,49.41
Day Change $,0.26
Day Change %,0.0053
Day High,49.41
Day Low,48.98
Dividend Pay Date,2023-02-15 00:00:00
"EPS (TTM, GAAP)",1.83
Ex-dividend,2023-01-13 00:00:00
Ex-dividend Date,01/13/23
Historical Volatility,0.22399999999999998
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,27.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.07
Prev Close,49.15
Short Interest,0.0315
Today's Open,49.25
Volume,783971.0
Volume 10-day Avg,1382949.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.059171597633136175
Growth 1yr High Est,0.10344827586206895
Growth 1yr Consensus Est,0.08130993674760256
Growth 2yr Low Est,0.05751875971042275
Growth 2yr High Est,0.10380747126436785
Growth 2yr Consensus Est,0.0806631154873953
Growth 5yr Low Est,0.026147412946068593
Growth 5yr High Est,0.04926336130063308
Growth 5yr Consensus Est,0.037705387123350836
Growth 5yr Actual/Est,0.03815259724685746
Growth 3yr Historic,-0.0009520841988644169
Price/Earnings (TTM),27.06522
Price/Sales (TTM),2.13677
Price/Book (MRQ),3.66568
Price/Cash Flow (TTM),21.42812
5yr Low,31.71
5yr High,55.11
5yr Avg Return,0.06296666666666667
EPS Growth 5yr,0.0023066000000000002
Revenue Growth 5yr,0.0363797
Dividend Growth 5yr,0.11555910000000001
Short Int Current Month,9048522.0
Short Int Prev Month,9885609.0
Short Int Pct of Float,0.0315325
Days to Cover,6.21674
Float,287.1581
Shares Outstanding,546.1976
Institutions Holding Shares,927.0
FCF Growth 5yr,0.018824682512451767
"Price/Earnings (TTM, GAAP)",27.07
"PEG Ratio (TTM, GAAP)",3.09
Gross Profit Margin (TTM),0.1723
Operating Profit Margin (TTM),0.1032
Net Profit Margin (TTM),0.0793
Annual Dividend Yield,0.0223
Dividend Change %,0.0661
"Dividend Growth Rate, 3 Years",0.09720000000000001
EPS Growth (MRQ),-0.1634
EPS Growth (TTM),0.1608
Revenue Growth (MRQ),-0.0201
Revenue Growth (TTM),0.22010000000000002
Return On Equity (TTM),0.1416
Return On Assets (TTM),0.0787
Return On Investment (TTM),0.08789999999999999
Revenue Per Employee (TTM),631504.0
Total Debt/Total Capital (MRQ),0.30960000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),1.21
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-12-20 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-03-11 00:00:00
ford since,2019-03-01 00:00:00
marketEdge opinion since,
