,INO
% Above Low,0.4565
% Held by Institutions,0.4458
52-Wk Range,['1.38 - 7.77']
Annual Dividend $,
Annual Dividend %,
Ask,2.03
Ask Size,12500.0
B/A Ratio,0.28
B/A Size,3500x12500
Beta,1.0
Bid,2.02
Bid Size,3500.0
Closing Price,2.01
Day Change $,-0.04
Day Change %,-0.0195
Day High,2.07
Day Low,1.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.48
Ex-dividend Date,No dividend
Historical Volatility,0.9
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,501.5M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,2.05
Short Interest,0.18789999999999998
Today's Open,2.01
Volume,2140874.0
Volume 10-day Avg,6302687.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.26956521739130435
Growth 2yr High Est,-0.4854368932038835
Growth 2yr Consensus Est,-0.3775010552975939
Growth 5yr Low Est,-0.26956521739130435
Growth 5yr High Est,-0.4854368932038835
Growth 5yr Consensus Est,-0.3775010552975939
Growth 5yr Actual/Est,-0.1023648663645148
Growth 3yr Historic,0.059859426894261186
Price/Earnings (TTM),
Price/Sales (TTM),45.68518
Price/Book (MRQ),1.88028
Price/Cash Flow (TTM),
5yr Low,1.38
5yr High,33.79
5yr Avg Return,0.03948333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.45032629999999996
Dividend Growth 5yr,
Short Int Current Month,46146857.0
Short Int Prev Month,43674448.0
Short Int Pct of Float,0.18790130000000002
Days to Cover,6.14274
Float,245.6774
Shares Outstanding,249.4893
Institutions Holding Shares,238.0
FCF Growth 5yr,0.23683063574645027
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-28.8917
Net Profit Margin (TTM),-30.0761
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6714
EPS Growth (TTM),-0.3588
Revenue Growth (MRQ),10.6702
Revenue Growth (TTM),0.6845
Return On Equity (TTM),-0.9227
Return On Assets (TTM),-0.7117
Return On Investment (TTM),-0.8449
Revenue Per Employee (TTM),34627.0
Total Debt/Total Capital (MRQ),0.0576
Change in Debt/Total Capital Quarter over Quarter,0.0054
Quick Ratio (MRQ),
Interest Coverage (MRQ),-32.92
theStreet,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam,rating-box
theStreet since,2009-07-19 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
researchTeam since,
