,INO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),45.69,45.03,Valuation,1.0146568954030646
Price/Book (MRQ),1.88,12.61,Valuation,0.14908802537668517
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-28.8917,-4.7459,Profitability,6.0877178195916475
Net Profit Margin (TTM),-30.0761,-4.5467,Profitability,6.614929509314448
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.6714,-0.0014000000000000002,Gowth rates,-479.5714285714285
EPS Growth (TTM),-0.3588,0.027200000000000002,Gowth rates,-13.191176470588236
Revenue Growth (MRQ),10.6702,1.3963999999999999,Gowth rates,7.641220280721857
Revenue Growth (TTM),0.6845,0.9747,Gowth rates,0.7022673643172258
Return On Equity (TTM),-0.9227,0.1967,Effectiveness,-4.690899847483477
Return On Assets (TTM),-0.7117,0.0016,Effectiveness,-444.8125
Return On Investment (TTM),-0.8449,0.0219,Effectiveness,-38.57990867579909
Revenue Per Employee (TTM),34627.0,1476201.0,Effectiveness,0.02345683277548247
Total Debt/Total Capital (MRQ),0.0576,0.4675,Financial strength,0.12320855614973261
Change in Debt/Total Capital Quarter over Quarter,0.0054,0.0036,Financial strength,1.5000000000000002
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-32.92,2.69,Financial strength,-12.237918215613384
