,FGEN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),10.59,45.03,Valuation,0.2351765489673551
Price/Book (MRQ),49.46,12.61,Valuation,3.9222839016653452
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.8495999999999999,0.5874,Profitability,1.4463738508682327
Operating Profit Margin (TTM),-3.0112,-4.7459,Profitability,0.6344845024126088
Net Profit Margin (TTM),-2.9549000000000003,-4.5467,Profitability,0.649899927419887
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.258,-0.0014000000000000002,Gowth rates,184.28571428571428
EPS Growth (TTM),-0.6568,0.027200000000000002,Gowth rates,-24.147058823529413
Revenue Growth (MRQ),-0.4721,1.3963999999999999,Gowth rates,-0.3380836436551132
Revenue Growth (TTM),-0.5669,0.9747,Gowth rates,-0.5816148558530829
Return On Equity (TTM),-2.0537,0.1967,Effectiveness,-10.44077275038129
Return On Assets (TTM),-0.49770000000000003,0.0016,Effectiveness,-311.0625
Return On Investment (TTM),-0.7576,0.0219,Effectiveness,-34.593607305936075
Revenue Per Employee (TTM),217157.0,1476201.0,Effectiveness,0.147105306120237
Total Debt/Total Capital (MRQ),0.25,0.4675,Financial strength,0.53475935828877
Change in Debt/Total Capital Quarter over Quarter,0.002,0.0036,Financial strength,0.5555555555555556
Quick Ratio (MRQ),1.72,2.06,Financial strength,0.8349514563106796
Interest Coverage (MRQ),,2.69,Financial strength,
