,FGEN
% Below High,0.24359999999999998
% Held by Institutions,0.7633
52-Wk Range,['7.81 - 18.31']
Annual Dividend $,
Annual Dividend %,
Ask,15.8
Ask Size,4000.0
B/A Ratio,0.075
B/A Size,300x4000
Beta,0.9
Bid,13.86
Bid Size,300.0
Closing Price,13.85
Day Change $,-0.13
Day Change %,-0.009300000000000001
Day High,14.03
Day Low,13.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.88
Ex-dividend Date,No dividend
Historical Volatility,0.652
Last (size),42.0
Last (time),1:00p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,13.98
Short Interest,0.07730000000000001
Today's Open,13.86
Volume,280678.0
Volume 10-day Avg,536193.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.008571428571428452
Growth 2yr High Est,-0.7587412587412588
Growth 2yr Consensus Est,-0.37508491508491515
Growth 5yr Low Est,0.008571428571428452
Growth 5yr High Est,-0.7587412587412588
Growth 5yr Consensus Est,-0.37508491508491515
Growth 5yr Actual/Est,0.39919911396912044
Growth 3yr Historic,0.46473454390542623
Price/Earnings (TTM),
Price/Sales (TTM),10.58745
Price/Book (MRQ),49.45691
Price/Cash Flow (TTM),
5yr Low,7.81
5yr High,68.55
5yr Avg Return,-0.14698333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0513512
Dividend Growth 5yr,
Short Int Current Month,6689048.0
Short Int Prev Month,6482700.0
Short Int Pct of Float,0.07732990000000001
Days to Cover,8.98155
Float,86.49036
Shares Outstanding,93.95769
Institutions Holding Shares,214.0
FCF Growth 5yr,0.2723544973544973
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8495999999999999
Operating Profit Margin (TTM),-3.0112
Net Profit Margin (TTM),-2.9549000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.258
EPS Growth (TTM),-0.6568
Revenue Growth (MRQ),-0.4721
Revenue Growth (TTM),-0.5669
Return On Equity (TTM),-2.0537
Return On Assets (TTM),-0.49770000000000003
Return On Investment (TTM),-0.7576
Revenue Per Employee (TTM),217157.0
Total Debt/Total Capital (MRQ),0.25
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),1.72
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-03-25 00:00:00
researchTeam since,2019-04-08 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
