,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,15.59,10.45,,,,,
low,8.61,3.14,,,,,
change,-0.25,-0.5323,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,278904.0,154050.0,123337.0,65518.0,Balance Sheet
Short Term Investments,,,,97908.0,140468.0,169137.0,Balance Sheet
Cash and Short Term Invs,,,278904.0,251958.0,263805.0,234655.0,Balance Sheet
"Total Receivables, Net",,,26023.0,26216.0,38241.0,49553.0,Balance Sheet
Prepaid Expenses,,,6113.0,8276.0,6195.0,7937.0,Balance Sheet
Total Current Assets,,,311040.0,286450.0,308241.0,292145.0,Balance Sheet
Buildings,,,13663.0,13663.0,13663.0,13808.0,Balance Sheet
Machinery/Equipment,,,22941.0,22954.0,23045.0,23399.0,Balance Sheet
Other Prop./Plant/Equip.,,,25235.0,24736.0,23805.0,23447.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,61839.0,61353.0,60513.0,60654.0,Balance Sheet
Accumulated Depreciation,,,-19470.0,-20120.0,-20562.0,-21277.0,Balance Sheet
Prop./Plant/Equip. - Net,,,42369.0,41233.0,39951.0,39377.0,Balance Sheet
"Goodwill, Net",,,33159.0,33159.0,37119.0,37119.0,Balance Sheet
Intangibles - Gross,,,17240.0,17240.0,10983.0,10983.0,Balance Sheet
Accum. Intangible Amort.,,,-12771.0,-13507.0,-3071.0,-3594.0,Balance Sheet
Intangibles - Net,,,4469.0,3733.0,7912.0,7389.0,Balance Sheet
Long Term Investments,,,4292.0,29593.0,24633.0,31038.0,Balance Sheet
Other Long Term Assets,,,348.0,295.0,276.0,300.0,Balance Sheet
Total Assets,,,397154.0,395899.0,419422.0,408551.0,Balance Sheet
Accounts Payable,,,5043.0,4527.0,5961.0,5085.0,Balance Sheet
Accrued Expenses,,,12054.0,10057.0,11294.0,28185.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,0.0,,,,Balance Sheet
Customer Advances,,,3077.0,9054.0,12352.0,9393.0,Balance Sheet
Income Taxes Payable,,,,,,1627.0,Balance Sheet
Other Current Liabilities,,,39163.0,42009.0,57597.0,43164.0,Balance Sheet
"Other Curr. Lblts, Total",,,42240.0,51063.0,69949.0,54184.0,Balance Sheet
Total Current Liabilities,,,59337.0,65647.0,87204.0,87454.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
