,ROVR
% Above Low,0.47450000000000003
% Held by Institutions,0.8417
52-Wk Range,['3.14 - 11.84']
Annual Dividend $,
Annual Dividend %,
Ask,4.63
Ask Size,400.0
B/A Ratio,1.25
B/A Size,500x400
Beta,
Bid,4.61
Bid Size,500.0
Day Change $,-0.04
Day Change %,-0.0086
Day High,4.72
Day Low,4.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.04
Ex-dividend Date,No dividend
Historical Volatility,0.6950000000000001
Last (size),100.0
Last (time),1:11p ET 11/28/22
Market Cap,850.8M
"P/E Ratio (TTM, GAAP)",111.67
Prev Close,4.67
Price,4.63
Short Interest,0.0385
Today's Open,4.72
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-06 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.375
Growth 2yr High Est,-1.1428571428571428
Growth 2yr Consensus Est,-0.7589285714285714
Growth 5yr Low Est,-0.375
Growth 5yr High Est,-1.1428571428571428
Growth 5yr Consensus Est,-0.7589285714285714
Growth 5yr Actual/Est,-0.5405797101449277
Growth 3yr Historic,0.0
Price/Earnings (TTM),111.6691
Price/Sales (TTM),5.36112
Price/Book (MRQ),2.89304
Price/Cash Flow (TTM),41.94376
5yr Low,3.14
5yr High,15.59
5yr Avg Return,-0.39114999999999994
Short Int Current Month,5658874.0
Short Int Prev Month,7456092.0
Short Int Pct of Float,0.038532000000000004
Days to Cover,4.41411
Float,164.2673
Shares Outstanding,183.7532
Institutions Holding Shares,130.0
FCF Growth 5yr,-2.5771722758649256
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",111.67
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8294
Operating Profit Margin (TTM),-0.23920000000000002
Net Profit Margin (TTM),0.0435
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-3.2411000000000003
EPS Growth (TTM),
Revenue Growth (MRQ),0.1728
Revenue Growth (TTM),
Return On Equity (TTM),0.0435
Return On Assets (TTM),0.0174
Return On Investment (TTM),0.0212
Revenue Per Employee (TTM),430282.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-08 00:00:00
theStreet since,2022-11-08 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
