,ROVR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",111.67,-674.43,Valuation,-0.16557685749447684
Price/Sales (TTM),5.36,3.81,Valuation,1.4068241469816274
Price/Book (MRQ),2.89,2.94,Valuation,0.9829931972789117
"PEG Ratio (TTM, GAAP)",,-5.1,Valuation,
Gross Profit Margin (TTM),0.8294,0.30350000000000005,Profitability,2.732784184514003
Operating Profit Margin (TTM),-0.23920000000000002,0.047,Profitability,-5.08936170212766
Net Profit Margin (TTM),0.0435,0.024900000000000002,Profitability,1.7469879518072287
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),-3.2411000000000003,-8.9082,Gowth rates,0.36383332210772096
EPS Growth (TTM),,1.3234000000000001,Gowth rates,
Revenue Growth (MRQ),0.1728,0.0315,Gowth rates,5.485714285714286
Revenue Growth (TTM),,0.1202,Gowth rates,
Return On Equity (TTM),0.0435,0.0073,Effectiveness,5.9589041095890405
Return On Assets (TTM),0.0174,-0.0022,Effectiveness,-7.909090909090908
Return On Investment (TTM),0.0212,0.005699999999999999,Effectiveness,3.7192982456140355
Revenue Per Employee (TTM),430282.0,227358.0,Effectiveness,1.8925307224729282
Total Debt/Total Capital (MRQ),0.0,0.5721,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.001,Financial strength,
Quick Ratio (MRQ),,0.56,Financial strength,
Interest Coverage (MRQ),,2.57,Financial strength,
