,OII
% Below High,0.1841
% Held by Institutions,0.9102
52-Wk Range,['7.25 - 18.20']
Annual Dividend $,
Annual Dividend %,
Ask,14.4
Ask Size,5600.0
B/A Ratio,0.017857142857142856
B/A Size,100x5600
Beta,2.9
Bid,13.89
Bid Size,100.0
Change Since Close,-0.33| |(-2.22%)
Closing Price,14.85
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.36
Ex-dividend Date,No dividend
Historical Volatility,0.645
Last (size),35.0
Last (time),5:00p ET 11/25/22
Last Trade,14.52
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,14.85
Short Interest,0.0256
Today's Open,
Volume,36.0
Volume 10-day Avg,1040077.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.7317073170731707
Growth 2yr High Est,1.4418604651162794
Growth 2yr Consensus Est,1.0867838910947252
Growth 5yr Low Est,0.7317073170731707
Growth 5yr High Est,1.4418604651162794
Growth 5yr Consensus Est,1.0867838910947252
Growth 5yr Actual/Est,0.04654917522564561
Growth 3yr Historic,-0.5770502645502646
Price/Earnings (TTM),
Price/Sales (TTM),0.74571
Price/Book (MRQ),3.15947
Price/Cash Flow (TTM),16.33967
5yr Low,2.01
5yr High,28.62
5yr Avg Return,0.029833333333333337
EPS Growth 5yr,
Revenue Growth 5yr,-0.0382368
Dividend Growth 5yr,
Short Int Current Month,2505413.0
Short Int Prev Month,3499861.0
Short Int Pct of Float,0.025558800000000003
Days to Cover,2.35374
Float,98.11739
Shares Outstanding,100.2595
Institutions Holding Shares,265.0
FCF Growth 5yr,-0.4599249237065341
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1485
Operating Profit Margin (TTM),0.0281
Net Profit Margin (TTM),-0.018000000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.9253
EPS Growth (TTM),-21.2867
Revenue Growth (MRQ),0.068
Revenue Growth (TTM),0.0929
Return On Equity (TTM),-0.071
Return On Assets (TTM),-0.0184
Return On Investment (TTM),-0.0246
Revenue Per Employee (TTM),234891.0
Total Debt/Total Capital (MRQ),0.595
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),2.04
Interest Coverage (MRQ),5.35
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-04 00:00:00
theStreet since,2021-05-20 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
