,ONEW
% Above Low,0.113
% Held by Institutions,0.6512
52-Wk Range,['28.23 - 62.79']
Annual Dividend $,
Annual Dividend %,
Ask,32.2
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,30.19
Bid Size,100.0
Closing Price,31.42
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",9.13
Ex-dividend Date,No dividend
Historical Volatility,0.521
Last (size),17.0
Last (time),12:58p ET 11/25/22
Market Cap,447.0M
"P/E Ratio (TTM, GAAP)",3.44
Prev Close,31.42
Short Interest,0.0492
Today's Open,
Volume,16005.0
Volume 10-day Avg,77096.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.04972972972972978
Growth 1yr High Est,0.007306889352818313
Growth 1yr Consensus Est,-0.021211420188455732
Growth 2yr Low Est,-0.13009808443255538
Growth 2yr High Est,0.008316657111642312
Growth 2yr Consensus Est,-0.060890713660456536
Growth 5yr Low Est,0.036724733835086565
Growth 5yr High Est,0.13234559081218036
Growth 5yr Consensus Est,0.08453516232363346
Growth 5yr Actual/Est,0.42777683284234325
Growth 3yr Historic,0.4561042470641936
Price/Earnings (TTM),3.44096
Price/Sales (TTM),0.28167
Price/Book (MRQ),1.27544
Price/Cash Flow (TTM),2.91696
5yr Low,3.41
5yr High,62.79
5yr Avg Return,0.49610000000000004
EPS Growth 5yr,
Revenue Growth 5yr,0.3483656
Dividend Growth 5yr,
Short Int Current Month,478231.0
Short Int Prev Month,532817.0
Short Int Pct of Float,0.0491614
Days to Cover,7.26342
Float,9.69806
Shares Outstanding,15.64156
Institutions Holding Shares,150.0
FCF Growth 5yr,0.23480020361399379
"Price/Earnings (TTM, GAAP)",3.44
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3173
Operating Profit Margin (TTM),0.12460000000000002
Net Profit Margin (TTM),0.08750000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6692
EPS Growth (TTM),0.3155
Revenue Growth (MRQ),-0.3012
Revenue Growth (TTM),0.42060000000000003
Return On Equity (TTM),0.42840000000000006
Return On Assets (TTM),0.1376
Return On Investment (TTM),0.21050000000000002
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.6148
Change in Debt/Total Capital Quarter over Quarter,0.0049
Quick Ratio (MRQ),0.43
Interest Coverage (MRQ),6.05
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-03-09 00:00:00
theStreet since,2021-03-09 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
