,ONEW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",3.44,19.03,Valuation,0.18076720966894375
Price/Sales (TTM),0.28,1.93,Valuation,0.1450777202072539
Price/Book (MRQ),1.28,92.12,Valuation,0.013894919669995658
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.3173,0.34390000000000004,Profitability,0.9226519337016574
Operating Profit Margin (TTM),0.12460000000000002,0.11789999999999999,Profitability,1.056827820186599
Net Profit Margin (TTM),0.08750000000000001,0.0818,Profitability,1.0696821515892423
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),-0.6692,-0.10800000000000001,Gowth rates,6.196296296296295
EPS Growth (TTM),0.3155,0.0262,Gowth rates,12.041984732824426
Revenue Growth (MRQ),-0.3012,0.0478,Gowth rates,-6.301255230125523
Revenue Growth (TTM),0.42060000000000003,0.0874,Gowth rates,4.812356979405035
Return On Equity (TTM),0.42840000000000006,5.2054,Effectiveness,0.08229915088177663
Return On Assets (TTM),0.1376,0.1562,Effectiveness,0.8809218950064021
Return On Investment (TTM),0.21050000000000002,0.26,Effectiveness,0.8096153846153846
Revenue Per Employee (TTM),,410011.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.6148,0.8926999999999999,Financial strength,0.6886972107090849
Change in Debt/Total Capital Quarter over Quarter,0.0049,0.0016,Financial strength,3.0624999999999996
Quick Ratio (MRQ),0.43,0.39,Financial strength,1.1025641025641024
Interest Coverage (MRQ),6.05,13.36,Financial strength,0.4528443113772455
