,STLD
% Below High,0.0408
% Held by Institutions,0.8421
52-Wk Range,['50.54 - 106.78']
Annual Dividend $,1.36
Annual Dividend %,0.0131
Ask,102.45
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.5
Bid,102.41
Bid Size,500.0
Day Change $,-1.56
Day Change %,-0.015
Day High,104.78
Day Low,101.77
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",22.68
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.456
Last (size),100.0
Last (time),3:30p ET 11/28/22
Market Cap,18.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.59
Prev Close,103.98
Price,102.42
Short Interest,0.0336
Today's Open,102.58
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.4329268292682926
Growth 1yr High Est,0.329225352112676
Growth 1yr Consensus Est,0.3810760906904843
Growth 2yr Low Est,-0.11805195179611372
Growth 2yr High Est,-0.0007294872990703527
Growth 2yr Consensus Est,-0.059390719547592036
Growth 5yr Low Est,0.9418214817290615
Growth 5yr High Est,1.128276033049494
Growth 5yr Consensus Est,1.035048757389278
Growth 5yr Actual/Est,1.1065533148988491
Growth 3yr Historic,1.144669059372311
Price/Earnings (TTM),4.58557
Price/Sales (TTM),0.80263
Price/Book (MRQ),2.30319
Price/Cash Flow (TTM),3.88059
5yr Low,14.98
5yr High,106.78
5yr Avg Return,0.2305333333333333
EPS Growth 5yr,0.5844498
Revenue Growth 5yr,0.1880691
Dividend Growth 5yr,0.083173
Short Int Current Month,5539909.0
Short Int Prev Month,5582233.0
Short Int Pct of Float,0.0335521
Days to Cover,3.76143
Float,165.2801
Shares Outstanding,175.5714
Institutions Holding Shares,870.0
FCF Growth 5yr,0.5525771071883752
"Price/Earnings (TTM, GAAP)",4.59
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.303
Operating Profit Margin (TTM),0.25329999999999997
Net Profit Margin (TTM),0.1906
Annual Dividend Yield,0.0131
Dividend Change %,0.04
"Dividend Growth Rate, 3 Years",0.1151
EPS Growth (MRQ),-0.2186
EPS Growth (TTM),1.0444
Revenue Growth (MRQ),-0.09029999999999999
Revenue Growth (TTM),0.44880000000000003
Return On Equity (TTM),0.636
Return On Assets (TTM),0.33899999999999997
Return On Investment (TTM),0.40490000000000004
Revenue Per Employee (TTM),2137702.0
Total Debt/Total Capital (MRQ),0.2767
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),2.08
Interest Coverage (MRQ),48.13
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-21 00:00:00
theStreet since,2020-11-03 00:00:00
cfra since,2022-10-21 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
