,CIVI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.99,9.13,Valuation,0.5465498357064622
Price/Sales (TTM),1.67,7.57,Valuation,0.22060766182298544
Price/Book (MRQ),1.11,4.65,Valuation,0.23870967741935484
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.9498000000000001,0.35119999999999996,Profitability,2.704441913439636
Operating Profit Margin (TTM),0.5136999999999999,0.192,Profitability,2.675520833333333
Net Profit Margin (TTM),0.324,0.0358,Profitability,9.050279329608939
Annual Dividend Yield,0.0292,0.0379,Dividend,0.7704485488126649
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),-0.1345,2.3421000000000003,Gowth rates,-0.05742709534178728
EPS Growth (TTM),3.1111000000000004,7.2215,Gowth rates,0.4308107733850309
Revenue Growth (MRQ),-0.12460000000000002,0.7168000000000001,Gowth rates,-0.173828125
Revenue Growth (TTM),6.2238,47.807,Gowth rates,0.13018595603154348
Return On Equity (TTM),0.33880000000000005,0.3993,Effectiveness,0.8484848484848486
Return On Assets (TTM),0.2348,0.15810000000000002,Effectiveness,1.4851359898798229
Return On Investment (TTM),0.2792,0.2237,Effectiveness,1.2481001341081805
Revenue Per Employee (TTM),10831000.0,7554984.0,Effectiveness,1.4336231552575094
Total Debt/Total Capital (MRQ),0.0696,0.3658,Financial strength,0.1902679059595407
Change in Debt/Total Capital Quarter over Quarter,-0.0038,-0.002,Financial strength,1.9
Quick Ratio (MRQ),0.91,0.96,Financial strength,0.9479166666666667
Interest Coverage (MRQ),,13.28,Financial strength,
