,CIVI
% Below High,0.1928
% Held by Institutions,1.0244
52-Wk Range,['44.17 - 84.76']
Annual Dividend $,2.0
Annual Dividend %,0.0292
Ask,71.2
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.7
Bid,58.0
Bid Size,200.0
Closing Price,68.42
Day Change $,0.4
Day Change %,0.0059
Day High,69.49
Day Low,68.28
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",13.72
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.569
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,5.8B
"P/E Ratio (TTM, GAAP)",4.99
Prev Close,68.02
Short Interest,0.0434
Today's Open,68.49
Volume,166762.0
Volume 10-day Avg,433609.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,1.4723247232472327
Growth 1yr High Est,1.3519108280254777
Growth 1yr Consensus Est,1.4121177756363552
Growth 2yr Low Est,0.6842966899818252
Growth 2yr High Est,0.6468423469849799
Growth 2yr Consensus Est,0.6655695184834025
Growth 5yr Low Est,0.3421483449909126
Growth 5yr High Est,0.32342117349248994
Growth 5yr Consensus Est,0.3327847592417013
Growth 5yr Actual/Est,0.7943322678216191
Growth 3yr Historic,-0.12991803278688524
Price/Earnings (TTM),4.98585
Price/Sales (TTM),1.66972
Price/Book (MRQ),1.10838
Price/Cash Flow (TTM),3.11596
5yr Low,8.25
5yr High,84.76
5yr Avg Return,0.2626833333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.3665191
Dividend Growth 5yr,
Short Int Current Month,3661982.0
Short Int Prev Month,4149103.0
Short Int Pct of Float,0.0434215
Days to Cover,5.21901
Float,84.37092
Shares Outstanding,85.1108
Institutions Holding Shares,367.0
FCF Growth 5yr,-6.231658182850434
"Price/Earnings (TTM, GAAP)",4.99
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9498000000000001
Operating Profit Margin (TTM),0.5136999999999999
Net Profit Margin (TTM),0.324
Annual Dividend Yield,0.0292
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1345
EPS Growth (TTM),3.1111000000000004
Revenue Growth (MRQ),-0.12460000000000002
Revenue Growth (TTM),6.2238
Return On Equity (TTM),0.33880000000000005
Return On Assets (TTM),0.2348
Return On Investment (TTM),0.2792
Revenue Per Employee (TTM),10831000.0
Total Debt/Total Capital (MRQ),0.0696
Change in Debt/Total Capital Quarter over Quarter,-0.0038
Quick Ratio (MRQ),0.91
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-10-11 00:00:00
marketEdge opinion since,
