,MUSA
% Below High,0.0947
% Held by Institutions,0.8559
52-Wk Range,['164.30 - 323.00']
Annual Dividend $,1.4
Annual Dividend %,0.0048
Ask,295.84
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.9
Bid,291.2
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,292.4
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",27.11
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.324
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,292.4
Market Cap,6.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.78
Prev Close,292.4
Short Interest,0.1394
Today's Open,
Volume,11.0
Volume 10-day Avg,276115.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.9186813186813187
Growth 1yr High Est,0.943820224719101
Growth 1yr Consensus Est,0.9312507717002099
Growth 2yr Low Est,0.25525513051286247
Growth 2yr High Est,0.3535830127335729
Growth 2yr Consensus Est,0.3044190716232177
Growth 5yr Low Est,0.5033871457719659
Growth 5yr High Est,0.5500187709189542
Growth 5yr Consensus Est,0.5267029583454601
Growth 5yr Actual/Est,0.5551550920641357
Growth 3yr Historic,0.4246778931617364
Price/Earnings (TTM),10.78483
Price/Sales (TTM),0.28916
Price/Book (MRQ),8.62465
Price/Cash Flow (TTM),7.47678
5yr Low,61.05
5yr High,323.0
5yr Avg Return,0.2772333333333333
EPS Growth 5yr,0.2170688
Revenue Growth 5yr,0.0840808
Dividend Growth 5yr,
Short Int Current Month,2870928.0
Short Int Prev Month,2804311.0
Short Int Pct of Float,0.1394494
Days to Cover,10.05463
Float,20.60562
Shares Outstanding,22.594
Institutions Holding Shares,514.0
FCF Growth 5yr,0.14125727319275708
"Price/Earnings (TTM, GAAP)",10.78
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.102
Operating Profit Margin (TTM),0.0417
Net Profit Margin (TTM),0.0291
Annual Dividend Yield,0.0048
Dividend Change %,3.16
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2325
EPS Growth (TTM),1.0988
Revenue Growth (MRQ),-0.08449999999999999
Revenue Growth (TTM),0.4783
Return On Equity (TTM),0.8348000000000001
Return On Assets (TTM),0.16140000000000002
Return On Investment (TTM),0.1966
Revenue Per Employee (TTM),3658415.0
Total Debt/Total Capital (MRQ),0.7026000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.64
Interest Coverage (MRQ),15.29
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-07-15 00:00:00
theStreet since,2019-08-01 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
marketEdge opinion since,
