,SFL
% Below High,0.1542
% Held by Institutions,0.3721
52-Wk Range,['7.64 - 11.60']
Annual Dividend $,0.92
Annual Dividend %,0.0922
Ask,9.81
Ask Size,1400.0
B/A Ratio,0.8571428571428571
B/A Size,1200x1400
Beta,0.8
Bid,9.8
Bid Size,1200.0
Day Change $,-0.17
Day Change %,-0.017
Day High,9.94
Day Low,9.78
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",1.64
Ex-dividend,2022-12-13 00:00:00
Ex-dividend Date,12/13/22
Historical Volatility,0.336
Last (size),100.0
Last (time),2:02p ET 11/28/22
Market Cap,1.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.1
Prev Close,9.98
Price,9.81
Short Interest,0.0294
Today's Open,9.94
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.7469879518072289
Growth 1yr High Est,0.7608695652173914
Growth 1yr Consensus Est,0.7539287585123101
Growth 2yr Low Est,-0.005816368923971749
Growth 2yr High Est,0.26006441223832527
Growth 2yr Consensus Est,0.12712402165717676
Growth 5yr Low Est,-0.0029081844619858743
Growth 5yr High Est,0.13003220611916264
Growth 5yr Consensus Est,0.06356201082858838
Growth 5yr Actual/Est,-1.347121230018112
Growth 3yr Historic,-1.2798990077958896
Price/Earnings (TTM),6.09987
Price/Sales (TTM),2.02586
Price/Book (MRQ),1.18113
Price/Cash Flow (TTM),2.96021
5yr Low,5.85
5yr High,15.98
5yr Avg Return,-0.008366666666666672
EPS Growth 5yr,-0.0466025
Revenue Growth 5yr,0.044505600000000006
Dividend Growth 5yr,-0.18938690000000002
Short Int Current Month,2737459.0
Short Int Prev Month,2666889.0
Short Int Pct of Float,0.0294427
Days to Cover,3.01567
Float,92.9758
Shares Outstanding,126.7963
Institutions Holding Shares,210.0
FCF Growth 5yr,0.7223214285714284
"Price/Earnings (TTM, GAAP)",6.1
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7172
Operating Profit Margin (TTM),0.4866
Net Profit Margin (TTM),0.3753
Annual Dividend Yield,0.0922
Dividend Change %,-0.37
"Dividend Growth Rate, 3 Years",-0.23370000000000002
EPS Growth (MRQ),-0.1311
EPS Growth (TTM),3.0757
Revenue Growth (MRQ),0.08869999999999999
Revenue Growth (TTM),0.3116
Return On Equity (TTM),0.2354
Return On Assets (TTM),0.065
Return On Investment (TTM),0.08410000000000001
Revenue Per Employee (TTM),34702060.0
Total Debt/Total Capital (MRQ),0.7009000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.84
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-02-17 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
