,SFL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.1,9.13,Valuation,0.6681270536692222
Price/Sales (TTM),2.03,7.57,Valuation,0.2681638044914134
Price/Book (MRQ),1.18,4.65,Valuation,0.253763440860215
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.7172,0.35119999999999996,Profitability,2.0421412300683373
Operating Profit Margin (TTM),0.4866,0.192,Profitability,2.534375
Net Profit Margin (TTM),0.3753,0.0358,Profitability,10.483240223463689
Annual Dividend Yield,0.0922,0.0379,Dividend,2.4327176781002637
Dividend Change %,-0.37,0.13269999999999998,Dividend,-2.7882441597588548
"Dividend Growth Rate, 3 Years",-0.23370000000000002,0.10189999999999999,Dividend,-2.2934249263984303
EPS Growth (MRQ),-0.1311,2.3421000000000003,Gowth rates,-0.05597540668630715
EPS Growth (TTM),3.0757,7.2215,Gowth rates,0.4259087447206259
Revenue Growth (MRQ),0.08869999999999999,0.7168000000000001,Gowth rates,0.12374441964285711
Revenue Growth (TTM),0.3116,47.807,Gowth rates,0.006517873951513376
Return On Equity (TTM),0.2354,0.3993,Effectiveness,0.5895316804407713
Return On Assets (TTM),0.065,0.15810000000000002,Effectiveness,0.4111321948134092
Return On Investment (TTM),0.08410000000000001,0.2237,Effectiveness,0.3759499329459097
Revenue Per Employee (TTM),34702060.0,7554984.0,Effectiveness,4.593267173034383
Total Debt/Total Capital (MRQ),0.7009000000000001,0.3658,Financial strength,1.9160743575724442
Change in Debt/Total Capital Quarter over Quarter,-0.0005,-0.002,Financial strength,0.25
Quick Ratio (MRQ),,0.96,Financial strength,
Interest Coverage (MRQ),5.84,13.28,Financial strength,0.43975903614457834
