,NG
% Above Low,0.40890000000000004
% Held by Institutions,0.569
52-Wk Range,['4.06 - 8.36']
Annual Dividend $,
Annual Dividend %,
Ask,5.75
Ask Size,500.0
B/A Ratio,1.2
B/A Size,600x500
Beta,0.5
Bid,5.2
Bid Size,600.0
Change Since Close,-0.06| |(-1.05%)
Closing Price,5.72
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.21
Ex-dividend Date,No dividend
Historical Volatility,0.49600000000000005
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,5.66
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,5.72
Short Interest,0.0359
Today's Open,
Volume,2.0
Volume 10-day Avg,1354365.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.3076923076923077
Growth 1yr High Est,0.18181818181818188
Growth 1yr Consensus Est,0.2447552447552448
Growth 2yr Low Est,0.06561085972850683
Growth 2yr High Est,-0.024475524475524424
Growth 2yr Consensus Est,0.020567667626491204
Growth 5yr Low Est,0.13558320764203122
Growth 5yr High Est,0.040540015540015545
Growth 5yr Consensus Est,0.08806161159102338
Growth 5yr Actual/Est,0.0907828282828283
Growth 3yr Historic,0.08333333333333331
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),46.63563
Price/Cash Flow (TTM),
5yr Low,3.35
5yr High,12.85
5yr Avg Return,0.15003333333333332
Short Int Current Month,8801705.0
Short Int Prev Month,9416966.0
Short Int Pct of Float,0.0358703
Days to Cover,5.71621
Float,245.0036
Shares Outstanding,333.3902
Institutions Holding Shares,243.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra since,
marketEdge opinion since,
marketEdge since,
researchTeam since,
newConstructs since,2022-04-29 00:00:00
ford since,
