,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,37.77,19.73,,,,,
low,16.15,6.1,,,,,
change,-0.41130000000000005,-0.5820000000000001,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,566.0,543.0,304.0,295.0,Balance Sheet
Short Term Investments,,,58.0,84.0,285.0,282.0,Balance Sheet
Cash and Short Term Invs,,,624.0,628.0,589.0,577.0,Balance Sheet
"Trade Accts Recvble, Gross",,,226.0,232.0,230.0,158.0,Balance Sheet
Prov. for Doubtful Accts,,,-4.0,-4.0,-4.0,-4.0,Balance Sheet
"Total Receivables, Net",,,223.0,228.0,226.0,153.0,Balance Sheet
"Other Curr. Assets, Total",,,11.0,17.0,12.0,16.0,Balance Sheet
Total Current Assets,,,857.0,873.0,827.0,746.0,Balance Sheet
Other Prop./Plant/Equip.,,,10.0,11.0,11.0,12.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,10.0,11.0,11.0,12.0,Balance Sheet
Accumulated Depreciation,,,-5.0,-5.0,-6.0,-6.0,Balance Sheet
Prop./Plant/Equip. - Net,,,8.0,9.0,11.0,11.0,Balance Sheet
"Goodwill, Net",,,79.0,97.0,91.0,90.0,Balance Sheet
Intangibles - Gross,,,47.0,51.0,62.0,57.0,Balance Sheet
Accum. Intangible Amort.,,,-11.0,-13.0,-15.0,-6.0,Balance Sheet
Intangibles - Net,,,36.0,38.0,47.0,52.0,Balance Sheet
Other Long Term Assets,,,3.0,2.0,2.0,2.0,Balance Sheet
Total Assets,,,983.0,1019.0,977.0,900.0,Balance Sheet
Accounts Payable,,,396.0,389.0,356.0,299.0,Balance Sheet
Accrued Expenses,,,23.0,28.0,24.0,23.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,4.0,5.0,5.0,3.0,Balance Sheet
Total Current Liabilities,,,423.0,422.0,386.0,325.0,Balance Sheet
Total Long Term Debt,,,1.0,61.0,71.0,71.0,Balance Sheet
Total Debt,,,1.0,61.0,71.0,71.0,Balance Sheet
"Other Liabilities, Total",,,3.0,3.0,5.0,5.0,Balance Sheet
Total Liabilities,,,427.0,486.0,462.0,401.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,,,,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,801.0,808.0,817.0,827.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-245.0,-275.0,-299.0,-323.0,Balance Sheet
"Other Equity, Total",,,0.0,0.0,-3.0,-5.0,Balance Sheet
