,ACVA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,49.74,Valuation,
Price/Sales (TTM),2.92,4.84,Valuation,0.6033057851239669
Price/Book (MRQ),2.48,8.39,Valuation,0.29558998808104886
"PEG Ratio (TTM, GAAP)",,29.79,Valuation,
Gross Profit Margin (TTM),0.4292,0.3996,Profitability,1.0740740740740742
Operating Profit Margin (TTM),-0.2469,-0.0013000000000000002,Profitability,189.9230769230769
Net Profit Margin (TTM),-0.2454,-0.084,Profitability,2.9214285714285713
Annual Dividend Yield,,0.011000000000000001,Dividend,
Dividend Change %,,0.0031,Dividend,
"Dividend Growth Rate, 3 Years",,0.076,Dividend,
EPS Growth (MRQ),0.038,0.2796,Gowth rates,0.13590844062947066
EPS Growth (TTM),-0.6024,0.0167,Gowth rates,-36.071856287425156
Revenue Growth (MRQ),-0.0839,6.5277,Gowth rates,-0.012852919098610537
Revenue Growth (TTM),0.358,0.4153,Gowth rates,0.8620274500361185
Return On Equity (TTM),-0.1935,0.24,Effectiveness,-0.80625
Return On Assets (TTM),-0.1106,0.08750000000000001,Effectiveness,-1.264
Return On Investment (TTM),-0.1802,0.1107,Effectiveness,-1.6278229448961155
Revenue Per Employee (TTM),,300402.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.12390000000000001,0.44520000000000004,Financial strength,0.2783018867924528
Change in Debt/Total Capital Quarter over Quarter,1.526,0.0070999999999999995,Financial strength,214.92957746478874
Quick Ratio (MRQ),,1.36,Financial strength,
Interest Coverage (MRQ),,18.66,Financial strength,
