,EVTC
% Above Low,0.0755
% Held by Institutions,0.9815
52-Wk Range,['30.72 - 51.06']
Annual Dividend $,0.2
Annual Dividend %,0.0060999999999999995
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,13.18
Bid Size,
Closing Price,33.04
Day Change $,0.09
Day Change %,0.0027
Day High,33.19
Day Low,32.73
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",3.62
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.311
Last (size),30.0
Last (time),5:00p ET 11/25/22
Market Cap,2.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.13
Prev Close,32.95
Short Interest,0.013999999999999999
Today's Open,33.02
Volume,161140.0
Volume 10-day Avg,271113.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.09160305343511455
Growth 1yr High Est,-0.08301886792452817
Growth 1yr Consensus Est,-0.08731096067982136
Growth 2yr Low Est,-0.05420488806209511
Growth 2yr High Est,0.005815668918394301
Growth 2yr Consensus Est,-0.024194609571850406
Growth 5yr Low Est,0.07405073653942626
Growth 5yr High Est,0.08404371247007517
Growth 5yr Consensus Est,0.07904722450475071
Growth 5yr Actual/Est,0.08143650796338225
Growth 3yr Historic,0.09494848664103323
Price/Earnings (TTM),9.13214
Price/Sales (TTM),3.52088
Price/Book (MRQ),4.79636
Price/Cash Flow (TTM),6.55057
5yr Low,12.88
5yr High,51.06
5yr Avg Return,0.22641666666666668
EPS Growth 5yr,0.17026789999999997
Revenue Growth 5yr,0.086519
Dividend Growth 5yr,-0.12944940000000002
Short Int Current Month,910498.0
Short Int Prev Month,1101388.0
Short Int Pct of Float,0.014037200000000001
Days to Cover,2.58332
Float,64.87686
Shares Outstanding,65.2022
Institutions Holding Shares,337.0
FCF Growth 5yr,0.03588633467816157
"Price/Earnings (TTM, GAAP)",9.13
"PEG Ratio (TTM, GAAP)",4.41
Gross Profit Margin (TTM),0.5438000000000001
Operating Profit Margin (TTM),0.49420000000000003
Net Profit Margin (TTM),0.4108
Annual Dividend Yield,0.0061
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),3.4153
EPS Growth (TTM),0.7329000000000001
Revenue Growth (MRQ),-0.092
Revenue Growth (TTM),0.0758
Return On Equity (TTM),0.5743
Return On Assets (TTM),0.2255
Return On Investment (TTM),0.266
Revenue Per Employee (TTM),244744.0
Total Debt/Total Capital (MRQ),0.5001
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),11.55
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-09-20 00:00:00
researchTeam since,2021-09-10 00:00:00
ford since,2021-09-10 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
