,IR
% Below High,0.1472
% Held by Institutions,1.0191
52-Wk Range,['39.29 - 62.64']
Annual Dividend $,0.08
Annual Dividend %,0.0015
Ask,69.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.5
Bid,53.1
Bid Size,300.0
Closing Price,53.42
Day Change $,-0.22
Day Change %,-0.0040999999999999995
Day High,54.03
Day Low,53.35
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",1.34
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.349
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,21.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.93
Prev Close,53.64
Short Interest,0.0253
Today's Open,53.8
Volume,1213052.0
Volume 10-day Avg,2793342.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.14814814814814814
Growth 1yr High Est,0.13725490196078427
Growth 1yr Consensus Est,0.1427015250544662
Growth 2yr Low Est,0.08098651647038746
Growth 2yr High Est,0.14621365787694396
Growth 2yr Consensus Est,0.11360008717366571
Growth 5yr Low Est,0.0973114400533755
Growth 5yr High Est,0.14589163906505426
Growth 5yr Consensus Est,0.12160153955921488
Growth 5yr Actual/Est,0.12436807207805378
Growth 3yr Historic,0.0808074660174477
Price/Earnings (TTM),39.93213
Price/Sales (TTM),3.78736
Price/Book (MRQ),2.47185
Price/Cash Flow (TTM),21.52137
5yr Low,17.01
5yr High,62.64
5yr Avg Return,0.1615833333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.21581309999999998
Dividend Growth 5yr,
Short Int Current Month,10233880.0
Short Int Prev Month,8116290.0
Short Int Pct of Float,0.025325
Days to Cover,2.98001
Float,404.1285
Shares Outstanding,404.9258
Institutions Holding Shares,831.0
FCF Growth 5yr,2.0751919427191168
"Price/Earnings (TTM, GAAP)",39.93
"PEG Ratio (TTM, GAAP)",4.03
Gross Profit Margin (TTM),0.38180000000000003
Operating Profit Margin (TTM),0.11970000000000001
Net Profit Margin (TTM),0.09880000000000001
Annual Dividend Yield,0.0015
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.057800000000000004
EPS Growth (TTM),0.2132
Revenue Growth (MRQ),0.0526
Revenue Growth (TTM),0.1533
Return On Equity (TTM),0.0632
Return On Assets (TTM),0.038700000000000005
Return On Investment (TTM),0.04360000000000001
Revenue Per Employee (TTM),356963.0
Total Debt/Total Capital (MRQ),0.23800000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),1.79
Interest Coverage (MRQ),9.87
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-10-12 00:00:00
researchTeam since,2022-03-25 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-23 00:00:00
ford since,2022-03-25 00:00:00
marketEdge opinion since,
