,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,32.65,15.85,,,,,
low,14.17,4.89,,,,,
change,-0.145,-0.42210000000000003,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,240420.0,147630.0,112146.0,82085.0,Balance Sheet
Short Term Investments,,,135412.0,206101.0,227778.0,211284.0,Balance Sheet
Cash and Short Term Invs,,,375832.0,353731.0,339924.0,293369.0,Balance Sheet
"Trade Accts Recvble, Net",,,2641.0,1868.0,2617.0,2296.0,Balance Sheet
Other Receivables,,,5483.0,4169.0,3094.0,2699.0,Balance Sheet
"Total Receivables, Net",,,8124.0,6037.0,5711.0,4995.0,Balance Sheet
Prepaid Expenses,,,6565.0,7276.0,5883.0,7455.0,Balance Sheet
"Other Curr. Assets, Total",,,671.0,966.0,1410.0,1103.0,Balance Sheet
Total Current Assets,,,391192.0,368010.0,352928.0,306922.0,Balance Sheet
Buildings,,,1701.0,1701.0,1725.0,1836.0,Balance Sheet
Machinery/Equipment,,,7121.0,8481.0,10555.0,11396.0,Balance Sheet
Construction in Progress,,,9.0,86.0,298.0,747.0,Balance Sheet
Other Prop./Plant/Equip.,,,133.0,25882.0,25411.0,24787.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,8964.0,36150.0,37989.0,38766.0,Balance Sheet
Accumulated Depreciation,,,-4077.0,-4385.0,-4733.0,-5181.0,Balance Sheet
Prop./Plant/Equip. - Net,,,4887.0,31765.0,33256.0,33585.0,Balance Sheet
Long Term Investments,,,45302.0,44758.0,33880.0,56980.0,Balance Sheet
Other Long Term Assets,,,975.0,1464.0,1303.0,1336.0,Balance Sheet
Total Assets,,,442356.0,445997.0,421367.0,398823.0,Balance Sheet
Accounts Payable,,,3990.0,1814.0,426.0,1228.0,Balance Sheet
Accrued Expenses,,,12089.0,11215.0,14051.0,13665.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,0.0,,,,Balance Sheet
Customer Advances,,,8703.0,12838.0,12642.0,12036.0,Balance Sheet
Other Payables,,,259.0,0.0,0.0,0.0,Balance Sheet
Other Current Liabilities,,,788.0,800.0,1736.0,1885.0,Balance Sheet
"Other Curr. Lblts, Total",,,9750.0,13638.0,14378.0,13921.0,Balance Sheet
Total Current Liabilities,,,25829.0,26667.0,28855.0,28814.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Deferred Income Tax,,,476.0,476.0,475.0,475.0,Balance Sheet
"Other Liabilities, Total",,,28226.0,47057.0,44148.0,45420.0,Balance Sheet
Total Liabilities,,,54531.0,74200.0,73478.0,74709.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,0.0,0.0,0.0,,Balance Sheet
Common Stock,,,6.0,6.0,6.0,6.0,Balance Sheet
Additional Paid-In Capital,,,485748.0,489762.0,493043.0,496369.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-97794.0,-116882.0,-143579.0,-170226.0,Balance Sheet
"Other Equity, Total",,,-135.0,-1089.0,-1581.0,-2035.0,Balance Sheet
Total Equity,,,387825.0,371797.0,347889.0,324114.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,442356.0,445997.0,421367.0,398823.0,Balance Sheet
Ttl Comm. Shares Outs.,,,60263.0,60690.0,60838.0,60987.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,2559.0,2664.0,4192.0,3303.0,Income Statement
Selling/Gen/Admin Expense,,,6663.0,7669.0,8093.0,8248.0,Income Statement
Labor & Related Expense,,,1190.0,1924.0,1951.0,1601.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,7853.0,9593.0,10044.0,9849.0,Income Statement
Research & Development,,,15111.0,13924.0,22579.0,19991.0,Income Statement
