,CRBU,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),41.97,45.03,Valuation,0.9320453031312458
Price/Book (MRQ),1.65,12.61,Valuation,0.1308485329103886
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-7.5661000000000005,-4.7459,Profitability,1.5942392380791843
Net Profit Margin (TTM),-7.148200000000001,-4.5467,Profitability,1.572173224536477
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.004,-0.0014000000000000002,Gowth rates,-2.8571428571428568
EPS Growth (TTM),-0.3887,0.027200000000000002,Gowth rates,-14.290441176470587
Revenue Growth (MRQ),-0.2121,1.3963999999999999,Gowth rates,-0.15189057576625611
Revenue Growth (TTM),0.5852,0.9747,Gowth rates,0.6003898635477584
Return On Equity (TTM),-0.24960000000000002,0.1967,Effectiveness,-1.2689374682257244
Return On Assets (TTM),-0.21120000000000003,0.0016,Effectiveness,-132.0
Return On Investment (TTM),-0.2256,0.0219,Effectiveness,-10.301369863013699
Revenue Per Employee (TTM),131113.0,1476201.0,Effectiveness,0.08881785068564511
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
