,CRBU
% Above Low,0.7894
% Held by Institutions,0.685
52-Wk Range,['4.89 - 19.61']
Annual Dividend $,
Annual Dividend %,
Ask,8.93
Ask Size,1100.0
B/A Ratio,0.5454545454545454
B/A Size,600x1100
Beta,
Bid,8.6
Bid Size,600.0
Closing Price,8.75
Day Change $,-0.04
Day Change %,-0.0046
Day High,8.88
Day Low,8.63
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.5
Ex-dividend Date,No dividend
Historical Volatility,0.85
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,534.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,8.79
Short Interest,0.0603
Today's Open,8.71
Volume,261384.0
Volume 10-day Avg,423894.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-20 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.5161290322580645
Growth 1yr High Est,0.3583333333333334
Growth 1yr Consensus Est,-0.07889784946236555
Growth 2yr Low Est,-0.11917562724014341
Growth 2yr High Est,0.09020961145194284
Growth 2yr Consensus Est,-0.014483007894100286
Growth 5yr Low Est,-0.11917562724014341
Growth 5yr High Est,0.09020961145194284
Growth 5yr Consensus Est,-0.014483007894100286
Growth 5yr Actual/Est,-0.04622453788553177
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),41.96915
Price/Book (MRQ),1.64644
Price/Cash Flow (TTM),
5yr Low,4.89
5yr High,32.65
5yr Avg Return,-0.28355
Short Int Current Month,3284927.0
Short Int Prev Month,3620586.0
Short Int Pct of Float,0.0603468
Days to Cover,6.85405
Float,54.43416
Shares Outstanding,61.00156
Institutions Holding Shares,157.0
FCF Growth 5yr,0.41541914548911957
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-7.5661000000000005
Net Profit Margin (TTM),-7.148200000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.004
EPS Growth (TTM),-0.3887
Revenue Growth (MRQ),-0.2121
Revenue Growth (TTM),0.5852
Return On Equity (TTM),-0.24960000000000002
Return On Assets (TTM),-0.21120000000000003
Return On Investment (TTM),-0.2256
Revenue Per Employee (TTM),131113.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-11-11 00:00:00
newConstructs since,
marketEdge opinion since,
