,HUBG
% Below High,0.0797
% Held by Institutions,0.9754999999999999
52-Wk Range,['60.81 - 89.62']
Annual Dividend $,
Annual Dividend %,
Ask,82.93
Ask Size,400.0
B/A Ratio,3.5
B/A Size,1400x400
Beta,0.9
Bid,82.01
Bid Size,1400.0
Closing Price,82.47
Day Change $,0.07
Day Change %,0.0008
Day High,83.06
Day Low,82.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.69
Ex-dividend Date,No dividend
Historical Volatility,0.365
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.72
Prev Close,82.4
Short Interest,0.021099999999999997
Today's Open,82.77
Volume,71798.0
Volume 10-day Avg,186615.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,2.125
Growth 1yr High Est,2.164705882352941
Growth 1yr Consensus Est,2.1448529411764703
Growth 2yr Low Est,0.8672619047619048
Growth 2yr High Est,0.9726875136671769
Growth 2yr Consensus Est,0.9199747092145408
Growth 5yr Low Est,0.4336309523809524
Growth 5yr High Est,0.48634375683358844
Growth 5yr Consensus Est,0.45998735460727036
Growth 5yr Actual/Est,0.41776764188854487
Growth 3yr Historic,0.21474736349019458
Price/Earnings (TTM),7.71562
Price/Sales (TTM),0.51595
Price/Book (MRQ),1.80722
Price/Cash Flow (TTM),5.39379
5yr Low,34.02
5yr High,89.62
5yr Avg Return,0.12319999999999999
EPS Growth 5yr,0.2440321
Revenue Growth 5yr,0.0900245
Dividend Growth 5yr,
Short Int Current Month,675606.0
Short Int Prev Month,936715.0
Short Int Pct of Float,0.0211391
Days to Cover,3.40106
Float,31.94673
Shares Outstanding,33.22938
Institutions Holding Shares,333.0
FCF Growth 5yr,0.47331999755330495
"Price/Earnings (TTM, GAAP)",7.72
"PEG Ratio (TTM, GAAP)",0.47
Gross Profit Margin (TTM),0.16899999999999998
Operating Profit Margin (TTM),0.0919
Net Profit Margin (TTM),0.06820000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1404
EPS Growth (TTM),2.2988
Revenue Growth (MRQ),-0.0329
Revenue Growth (TTM),0.3519
Return On Equity (TTM),0.2611
Return On Assets (TTM),0.1435
Return On Investment (TTM),0.1978
Revenue Per Employee (TTM),1130083.0
Total Debt/Total Capital (MRQ),0.1749
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),54.74
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2017-09-22 00:00:00
researchTeam since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
