,RJF
% Below High,0.0708
% Held by Institutions,0.7605
52-Wk Range,['84.86 - 126.00']
Annual Dividend $,1.36
Annual Dividend %,0.011399999999999999
Ask,117.1
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,117.06
Bid Size,100.0
Day Change $,-2.48
Day Change %,-0.0207
Day High,118.2
Day Low,116.68
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",6.98
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.34600000000000003
Last (size),100.0
Last (time),12:50p ET 11/28/22
Market Cap,25.2B
"P/E Ratio (TTM, GAAP)",17.13
Prev Close,119.56
Price,117.08
Short Interest,0.0166
Today's Open,117.63
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.19148936170212782
Growth 1yr High Est,0.48271276595744683
Growth 1yr Consensus Est,0.33710106382978733
Growth 2yr Low Est,0.13919706180344493
Growth 2yr High Est,0.3386658000190822
Growth 2yr Consensus Est,0.23893143091126356
Growth 5yr Low Est,0.13919706180344493
Growth 5yr High Est,0.3386658000190822
Growth 5yr Consensus Est,0.23893143091126356
Growth 5yr Actual/Est,0.2985596968461276
Growth 3yr Historic,0.19864951992611563
Price/Earnings (TTM),17.13441
Price/Sales (TTM),2.27388
Price/Book (MRQ),2.75434
Price/Cash Flow (TTM),15.58364
5yr Low,36.14
5yr High,126.0
5yr Avg Return,0.14584999999999998
EPS Growth 5yr,0.1935256
Revenue Growth 5yr,0.1162532
Dividend Growth 5yr,0.17424720000000002
Short Int Current Month,3212295.0
Short Int Prev Month,2725742.0
Short Int Pct of Float,0.016626600000000002
Days to Cover,2.3418
Float,193.5519
Shares Outstanding,215.0636
Institutions Holding Shares,932.0
FCF Growth 5yr,-2.0643854564476816
"Price/Earnings (TTM, GAAP)",17.13
"PEG Ratio (TTM, GAAP)",0.87
Gross Profit Margin (TTM),0.9490999999999999
Operating Profit Margin (TTM),0.1788
Net Profit Margin (TTM),0.1334
Annual Dividend Yield,0.011399999999999999
Dividend Change %,0.24670000000000003
"Dividend Growth Rate, 3 Years",0.133
EPS Growth (MRQ),0.42840000000000006
EPS Growth (TTM),0.0504
Revenue Growth (MRQ),0.0803
Revenue Growth (TTM),0.1411
Return On Equity (TTM),0.1711
Return On Assets (TTM),0.0211
Return On Investment (TTM),0.1174
Revenue Per Employee (TTM),665177.0
Total Debt/Total Capital (MRQ),0.8540000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-10-01 00:00:00
theStreet since,2020-09-08 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-10-28 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
