,2017,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
high,60.86,68.11,61.33,68.3,103.47,126.0,,,,,
low,56.65,46.08,47.59,36.14,62.02,84.86,,,,,
change,0.0189,-0.1696,0.2267,0.0626,0.5750000000000001,0.16149999999999998,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,8216.0,5715.0,5958.0,6178.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,2721.0,3169.0,2954.0,2934.0,Balance Sheet
Other Receivables,,,,,,,1038.0,1373.0,1230.0,1615.0,Balance Sheet
"Total Receivables, Net",,,,,,,3759.0,4542.0,4184.0,4549.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,15490.0,19531.0,16251.0,8481.0,Balance Sheet
Total Current Assets,,,,,,,,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,930.0,934.0,983.0,983.0,Balance Sheet
Intangibles - Net,,,,,,,874.0,1110.0,1810.0,1931.0,Balance Sheet
Long Term Investments,,,,,,,11060.0,11313.0,12976.0,13183.0,Balance Sheet
Note Rcvble - Long Term,,,,,,,27240.0,29007.0,42968.0,44391.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,305.0,412.0,479.0,630.0,Balance Sheet
Other Assets,,,,,,,587.0,537.0,502.0,625.0,Balance Sheet
"Other Assets, Total",,,,,,,587.0,537.0,502.0,625.0,Balance Sheet
Total Assets,,,,,,,68461.0,73101.0,86111.0,80951.0,Balance Sheet
Accounts Payable,,,,,,,20280.0,24013.0,20277.0,12732.0,Balance Sheet
Accrued Expenses,,,,,,,1873.0,2019.0,2090.0,2269.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,34360.0,35110.0,50324.0,51823.0,Balance Sheet
Total Current Liabilities,,,,,,,,,,,Balance Sheet
Total Long Term Debt,,,,,,,2893.0,2893.0,3391.0,3329.0,Balance Sheet
