,HSC
% Above Low,0.9115000000000001
% Held by Institutions,0.9826999999999999
52-Wk Range,['3.73 - 17.69']
Annual Dividend $,
Annual Dividend %,
Ask,8.04
Ask Size,1500.0
B/A Ratio,0.26666666666666666
B/A Size,400x1500
Beta,1.9
Bid,7.0
Bid Size,400.0
Closing Price,7.13
Day Change $,-0.09
Day Change %,-0.0125
Day High,7.41
Day Low,7.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.46
Ex-dividend Date,No dividend
Historical Volatility,0.716
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,565.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,7.22
Short Interest,0.0431
Today's Open,7.25
Volume,272410.0
Volume 10-day Avg,728404.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.9545454545454546
Growth 1yr High Est,-0.86
Growth 1yr Consensus Est,-0.9072727272727272
Growth 2yr Low Est,1.2727272727272727
Growth 2yr High Est,1.6414285714285712
Growth 2yr Consensus Est,1.457077922077922
Growth 5yr Low Est,0.8484848484848485
Growth 5yr High Est,1.094285714285714
Growth 5yr Consensus Est,0.9713852813852814
Growth 5yr Actual/Est,1.12764468106083
Growth 3yr Historic,-0.011848072562358286
Price/Earnings (TTM),
Price/Sales (TTM),0.34846
Price/Book (MRQ),0.98631
Price/Cash Flow (TTM),10.64279
5yr Low,3.73
5yr High,30.05
5yr Avg Return,-0.1
EPS Growth 5yr,
Revenue Growth 5yr,0.049572200000000004
Dividend Growth 5yr,
Short Int Current Month,3359843.0
Short Int Prev Month,4078840.0
Short Int Pct of Float,0.043121900000000005
Days to Cover,3.13994
Float,77.97529
Shares Outstanding,79.47463
Institutions Holding Shares,247.0
FCF Growth 5yr,-0.8417220498398003
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1675
Operating Profit Margin (TTM),-0.0385
Net Profit Margin (TTM),-0.0689
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.0059
EPS Growth (TTM),-9.8641
Revenue Growth (MRQ),0.0122
Revenue Growth (TTM),0.0392
Return On Equity (TTM),-0.1825
Return On Assets (TTM),-0.0386
Return On Investment (TTM),-0.0495
Revenue Per Employee (TTM),135516.0
Total Debt/Total Capital (MRQ),0.6817000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),1.21
Interest Coverage (MRQ),1.63
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-05-16 00:00:00
researchTeam since,2021-07-16 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
