,SBCF
% Above Low,0.1532
% Held by Institutions,0.8734000000000001
52-Wk Range,['29.05 - 39.31']
Annual Dividend $,0.68
Annual Dividend %,0.02
Ask,33.52
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,33.5
Bid Size,100.0
Day Change $,-0.51
Day Change %,-0.015
Day High,34.0
Day Low,33.44
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",1.95
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.304
Last (size),1.0
Last (time),1:41p ET 11/28/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.44
Prev Close,34.01
Price,33.5
Short Interest,0.058600000000000006
Today's Open,33.84
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.007407407407407418
Growth 1yr High Est,0.15277777777777768
Growth 1yr Consensus Est,0.07268518518518513
Growth 2yr Low Est,0.1865948037589828
Growth 2yr High Est,0.2842202141900937
Growth 2yr Consensus Est,0.23540750897453824
Growth 5yr Low Est,0.02281867847523611
Growth 5yr High Est,0.0835994687971745
Growth 5yr Consensus Est,0.053209073636205306
Growth 5yr Actual/Est,0.10581052197593555
Growth 3yr Historic,0.0714181286549708
Price/Earnings (TTM),17.44156
Price/Sales (TTM),5.41818
Price/Book (MRQ),1.62355
Price/Cash Flow (TTM),16.06314
5yr Low,13.3
5yr High,40.93
5yr Avg Return,0.05121666666666667
EPS Growth 5yr,0.2285695
Revenue Growth 5yr,0.1393408
Dividend Growth 5yr,
Short Int Current Month,3530435.0
Short Int Prev Month,3746616.0
Short Int Pct of Float,0.058578599999999995
Days to Cover,6.45412
Float,60.62454
Shares Outstanding,61.47633
Institutions Holding Shares,304.0
FCF Growth 5yr,0.1793092616259806
"Price/Earnings (TTM, GAAP)",17.44
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3915
Net Profit Margin (TTM),0.3081
Annual Dividend Yield,0.02
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1079
EPS Growth (TTM),-0.0664
Revenue Growth (MRQ),0.09140000000000001
Revenue Growth (TTM),0.1567
Return On Equity (TTM),0.0922
Return On Assets (TTM),0.0118
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2020-11-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
