,SBCF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.44,11.43,Valuation,1.52580927384077
Price/Sales (TTM),5.42,3.3,Valuation,1.6424242424242426
Price/Book (MRQ),1.62,1.46,Valuation,1.1095890410958904
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.3915,0.34240000000000004,Profitability,1.1433995327102804
Net Profit Margin (TTM),0.3081,0.2812,Profitability,1.0956614509246088
Annual Dividend Yield,0.02,0.028700000000000003,Dividend,0.6968641114982578
Dividend Change %,,-0.0086,Dividend,
"Dividend Growth Rate, 3 Years",,0.0734,Dividend,
EPS Growth (MRQ),-0.1079,-0.0335,Gowth rates,3.2208955223880595
EPS Growth (TTM),-0.0664,-0.09960000000000001,Gowth rates,0.6666666666666666
Revenue Growth (MRQ),0.09140000000000001,0.5429,Gowth rates,0.16835512985816908
Revenue Growth (TTM),0.1567,0.2466,Gowth rates,0.6354420113544201
Return On Equity (TTM),0.0922,0.1135,Effectiveness,0.8123348017621146
Return On Assets (TTM),0.0118,0.0099,Effectiveness,1.1919191919191918
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.001,0.0009,Financial strength,-1.1111111111111112
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
