,ALGT
% Above Low,0.2675
% Held by Institutions,0.8711
52-Wk Range,['63.78 - 196.67']
Annual Dividend $,
Annual Dividend %,
Ask,93.65
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.5
Bid,77.77
Bid Size,500.0
Closing Price,80.84
Day Change $,0.22
Day Change %,0.0027
Day High,81.7
Day Low,79.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.19
Ex-dividend Date,No dividend
Historical Volatility,0.506
Last (size),18.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,80.62
Short Interest,0.044500000000000005
Today's Open,80.5
Volume,82101.0
Volume 10-day Avg,218908.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.9498956158663883
Growth 1yr High Est,-0.9314324507807197
Growth 1yr Consensus Est,-0.940664033323554
Growth 2yr Low Est,0.761163303177917
Growth 2yr High Est,2.9154718934215214
Growth 2yr Consensus Est,1.838317598299719
Growth 5yr Low Est,0.3805816515889585
Growth 5yr High Est,1.4577359467107607
Growth 5yr Consensus Est,0.9191587991498594
Growth 5yr Actual/Est,0.45647461664379163
Growth 3yr Historic,-0.7182318043861587
Price/Earnings (TTM),
Price/Sales (TTM),0.68003
Price/Book (MRQ),1.24438
Price/Cash Flow (TTM),9.70348
5yr Low,60.06
5yr High,271.29
5yr Avg Return,0.004349999999999999
EPS Growth 5yr,-0.0815579
Revenue Growth 5yr,0.0437195
Dividend Growth 5yr,
Short Int Current Month,689879.0
Short Int Prev Month,739392.0
Short Int Pct of Float,0.04445229999999999
Days to Cover,2.48973
Float,15.58316
Shares Outstanding,18.39857
Institutions Holding Shares,288.0
FCF Growth 5yr,-2.006249159926311
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5871000000000001
Operating Profit Margin (TTM),0.016399999999999998
Net Profit Margin (TTM),-0.018000000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-11.7523
EPS Growth (TTM),-1.355
Revenue Growth (MRQ),-0.1104
Revenue Growth (TTM),0.5005
Return On Equity (TTM),-0.0332
Return On Assets (TTM),-0.0096
Return On Investment (TTM),-0.011899999999999999
Revenue Per Employee (TTM),522870.0
Total Debt/Total Capital (MRQ),0.6263000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),1.27
Interest Coverage (MRQ),0.17
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-10-28 00:00:00
cfra since,2022-11-03 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
marketEdge since,2022-11-04 00:00:00
