,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.06,11.27,11.4,10.81,,,,,
low,9.82,7.62,7.32,7.45,,,,,
change,0.0194,-0.1027,-0.013500000000000002,0.050199999999999995,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,252.0,241.0,249.0,283.0,Balance Sheet
Short Term Investments,,,,,59.0,59.0,34.0,2.0,Balance Sheet
Cash and Short Term Invs,,,,,311.0,300.0,282.0,285.0,Balance Sheet
"Total Receivables, Net",,,,,62.0,75.0,93.0,122.0,Balance Sheet
Total Inventory,,,,,198.0,219.0,234.0,225.0,Balance Sheet
Restricted Cash - Current,,,,,20.0,16.0,14.0,14.0,Balance Sheet
Other Current Assets,,,,,92.0,76.0,83.0,99.0,Balance Sheet
"Other Curr. Assets, Total",,,,,112.0,92.0,97.0,113.0,Balance Sheet
Total Current Assets,,,,,684.0,686.0,707.0,745.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,1302.0,,,,Balance Sheet
Accumulated Depreciation,,,,,-45.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,1806.0,1800.0,1794.0,1904.0,Balance Sheet
"Goodwill, Net",,,,,198.0,198.0,198.0,198.0,Balance Sheet
Intangibles - Net,,,,,186.0,181.0,176.0,193.0,Balance Sheet
Long Term Investments,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,41.0,43.0,40.0,18.0,Balance Sheet
Restricted Cash - LT,,,,,0.0,,,,Balance Sheet
Other Long Term Assets,,,,,25.0,30.0,32.0,30.0,Balance Sheet
Total Assets,,,,,2942.0,2941.0,2950.0,3089.0,Balance Sheet
Accounts Payable,,,,,173.0,194.0,221.0,211.0,Balance Sheet
Accrued Expenses,,,,,51.0,53.0,54.0,56.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,47.0,47.0,45.0,17.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,137.0,135.0,134.0,148.0,Balance Sheet
Total Current Liabilities,,,,,408.0,429.0,455.0,432.0,Balance Sheet
Long Term Debt,,,,,677.0,676.0,675.0,722.0,Balance Sheet
Capital Lease Obligations,,,,,229.0,228.0,229.0,227.0,Balance Sheet
Total Long Term Debt,,,,,906.0,904.0,904.0,949.0,Balance Sheet
Total Debt,,,,,953.0,951.0,949.0,966.0,Balance Sheet
Deferred Income Tax,,,,,3.0,2.0,4.0,0.0,Balance Sheet
Minority Interest,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Reserves,,,,,58.0,58.0,59.0,64.0,Balance Sheet
Other LT Liabilities,,,,,1214.0,1206.0,1182.0,1274.0,Balance Sheet
"Other Liabilities, Total",,,,,1272.0,1264.0,1241.0,1337.0,Balance Sheet
Total Liabilities,,,,,2589.0,2599.0,2604.0,2719.0,Balance Sheet
Redeemable Preferred Stock,,,,,100.0,100.0,100.0,100.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,215.0,220.0,224.0,227.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,30.0,25.0,53.0,74.0,Balance Sheet
Treasury Stock - Common,,,,,,-13.0,-40.0,-40.0,Balance Sheet
"Other Equity, Total",,,,,9.0,9.0,9.0,9.0,Balance Sheet
Total Equity,,,,,353.0,341.0,346.0,370.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,2942.0,2941.0,2950.0,3089.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,124.0,123.0,120.0,120.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,2.0,5.0,5.0,Balance Sheet
Trsry Shrs-Pref. Iss. 1,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,1988.0,1973.0,2540.0,2450.0,Income Statement
"Cost of Revenue, Total",,,,,1734.0,1729.0,2255.0,2131.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,200.0,198.0,211.0,226.0,Income Statement
Depreciation/Amortization,,,,,26.0,25.0,24.0,26.0,Income Statement
"Other Operat Expse, Total",,,,,1.0,1.0,1.0,1.0,Income Statement
Total Operating Expense,,,,,1960.0,1954.0,2492.0,2384.0,Income Statement
Total Operating Income,,,,,28.0,19.0,48.0,66.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,-12.0,-12.0,-3.0,-16.0,Income Statement
Income Before Tax,,,,,12.0,3.0,41.0,46.0,Income Statement
Income Tax - Total,,,,,-1.0,1.0,9.0,21.0,Income Statement
Income After Tax,,,,,13.0,2.0,32.0,25.0,Income Statement
Minority Interest,,,,,0.0,0.0,0.0,0.0,Income Statement
Equity In Affiliates,,,,,0.0,0.0,0.0,0.0,Income Statement
Net Inc Before Extra Items,,,,,13.0,2.0,32.0,25.0,Income Statement
Total Net Income,,,,,13.0,2.0,32.0,25.0,Income Statement
Total Adjust to Net Income,,,,,-1.0,-1.0,-1.0,-1.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,11.0,1.0,30.0,23.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,11.0,1.0,30.0,23.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,124.0,124.0,122.0,120.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,0.09,0.01,0.25,0.2,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,0.09,0.01,0.25,0.2,Income Statement
Diluted Weighted Average Shares,,,,,126.0,125.0,131.0,130.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,0.09,0.01,0.23,0.18,Income Statement
Diluted EPS Incl. Extra. Items,,,,,0.09,0.01,0.23,0.18,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.02,0.02,0.02,Income Statement
Gross Divid - Common Stock,,,,,0.0,2.0,2.0,2.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,4.0,4.0,4.0,4.0,Income Statement
"Depreciat/Amort, Suppl",,,,,26.0,25.0,24.0,26.0,Income Statement
Total Special Items,,,,,1.0,1.0,2.0,4.0,Income Statement
Normalzd Income Before Tax,,,,,13.0,5.0,43.0,50.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,0.0,0.0,0.0,2.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,0.0,1.0,10.0,23.0,Income Statement
Normalized Income After Tax,,,,,13.0,3.0,33.0,27.0,Income Statement
Normalzd Inc Avail to Common,,,,,12.0,2.0,32.0,26.0,Income Statement
Basic Normalized EPS,,,,,0.1,0.01,0.26,0.21,Income Statement
Diluted Normalized EPS,,,,,0.09,0.01,0.24,0.2,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,59427.0,2318.0,34124.0,59118.0,Cash Flow
