,BJRI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,114.03,Valuation,
Price/Sales (TTM),0.61,5.62,Valuation,0.10854092526690391
Price/Book (MRQ),2.21,8.49,Valuation,0.2603062426383981
"PEG Ratio (TTM, GAAP)",,0.53,Valuation,
Gross Profit Margin (TTM),0.3465,0.4054,Profitability,0.8547113961519487
Operating Profit Margin (TTM),-0.0144,0.163,Profitability,-0.08834355828220858
Net Profit Margin (TTM),-0.0037,0.0779,Profitability,-0.04749679075738126
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),-6.5626999999999995,0.3309,Gowth rates,-19.832880024176486
EPS Growth (TTM),0.7483,2.1359,Gowth rates,0.3503441172339529
Revenue Growth (MRQ),-0.055700000000000006,0.38439999999999996,Gowth rates,-0.14490114464099899
Revenue Growth (TTM),0.24,0.7695000000000001,Gowth rates,0.31189083820662766
Return On Equity (TTM),-0.013500000000000002,0.19090000000000001,Effectiveness,-0.07071765322158198
Return On Assets (TTM),-0.0044,0.0758,Effectiveness,-0.05804749340369393
Return On Investment (TTM),-0.0053,0.1005,Effectiveness,-0.0527363184079602
Revenue Per Employee (TTM),58621.0,285753.0,Effectiveness,0.2051457027572764
Total Debt/Total Capital (MRQ),0.1285,1.1596,Financial strength,0.11081407381855812
Change in Debt/Total Capital Quarter over Quarter,-0.0029,0.002,Financial strength,-1.45
Quick Ratio (MRQ),0.27,0.81,Financial strength,0.3333333333333333
Interest Coverage (MRQ),-7.43,40.22,Financial strength,-0.18473396320238686
