,BJRI
% Below High,0.13849999999999998
% Held by Institutions,0.9843000000000001
52-Wk Range,['20.15 - 37.22']
Annual Dividend $,
Annual Dividend %,
Ask,35.0
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.8
Bid,29.93
Bid Size,1000.0
Closing Price,32.06
Day Change $,0.15
Day Change %,0.004699999999999999
Day High,32.55
Day Low,31.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.2
Ex-dividend Date,No dividend
Historical Volatility,0.593
Last (size),6.0
Last (time),1:00p ET 11/25/22
Market Cap,750.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,31.91
Short Interest,0.0678
Today's Open,31.97
Volume,106688.0
Volume 10-day Avg,206007.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.9277566539923954
Growth 1yr High Est,-1.096774193548387
Growth 1yr Consensus Est,-1.0122654237703912
Growth 2yr Low Est,-2.1217730638383028
Growth 2yr High Est,2.1460573476702507
Growth 2yr Consensus Est,0.012142141915973959
Growth 5yr Low Est,-1.660620574472343
Growth 5yr High Est,0.5905286738351253
Growth 5yr Consensus Est,-0.5350459503186088
Growth 5yr Actual/Est,2.611492757001278
Growth 3yr Historic,-0.786423909665389
Price/Earnings (TTM),
Price/Sales (TTM),0.6092
Price/Book (MRQ),2.2094
Price/Cash Flow (TTM),11.28645
5yr Low,6.01
5yr High,76.5
5yr Avg Return,0.007466666666666657
EPS Growth 5yr,
Revenue Growth 5yr,0.0182503
Dividend Growth 5yr,
Short Int Current Month,1528011.0
Short Int Prev Month,1560990.0
Short Int Pct of Float,0.06776209999999999
Days to Cover,5.71392
Float,22.54831
Shares Outstanding,23.39209
Institutions Holding Shares,203.0
FCF Growth 5yr,5.162842893452763
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3465
Operating Profit Margin (TTM),-0.0144
Net Profit Margin (TTM),-0.0037
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-6.5626999999999995
EPS Growth (TTM),0.7483
Revenue Growth (MRQ),-0.055700000000000006
Revenue Growth (TTM),0.24
Return On Equity (TTM),-0.013500000000000002
Return On Assets (TTM),-0.0044
Return On Investment (TTM),-0.0053
Revenue Per Employee (TTM),58621.0
Total Debt/Total Capital (MRQ),0.1285
Change in Debt/Total Capital Quarter over Quarter,-0.0029
Quick Ratio (MRQ),0.27
Interest Coverage (MRQ),-7.43
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-05-17 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-11-30 00:00:00
