,GWW
Price/Earnings (TTM),21.44732
Price/Sales (TTM),2.06509
Price/Book (MRQ),13.25553
Price/Cash Flow (TTM),17.69989
5yr Low,200.61
5yr High,612.06
5yr Avg Return,0.19228333333333336
EPS Growth 5yr,0.15147560000000002
Revenue Growth 5yr,0.05136110000000001
Dividend Growth 5yr,0.05757399999999999
Short Int Current Month,1263472.0
Short Int Prev Month,1364687.0
Short Int Pct of Float,0.027694800000000002
Days to Cover,3.74252
Float,45.62423
Shares Outstanding,50.52926
Institutions Holding Shares,1215.0
% Held by Institutions,0.706028
FCF Growth 5yr,0.23397370321601385
