,GWW
% Below High,0.0128
% Held by Institutions,0.706
52-Wk Range,['440.48 - 612.06']
Annual Dividend $,6.88
Annual Dividend %,0.011399999999999999
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,287.43
Bid Size,
Closing Price,604.25
Day Change $,-0.07
Day Change %,-0.0001
Day High,608.4
Day Low,601.26
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",28.17
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.28800000000000003
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,30.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.45
Prev Close,604.32
Short Interest,0.0277
Today's Open,606.82
Volume,71435.0
Volume 10-day Avg,269913.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.5139751552795031
Growth 1yr High Est,0.4964646464646463
Growth 1yr Consensus Est,0.5052199008720747
Growth 2yr Low Est,0.20519270584487975
Growth 2yr High Est,0.309319059648118
Growth 2yr Consensus Est,0.2572558827464989
Growth 5yr Low Est,0.13604307683232972
Growth 5yr High Est,0.18668068141042798
Growth 5yr Consensus Est,0.16136187912137884
Growth 5yr Actual/Est,0.1717820653803097
Growth 3yr Historic,0.04050155816469003
Price/Earnings (TTM),21.44732
Price/Sales (TTM),2.06509
Price/Book (MRQ),13.25553
Price/Cash Flow (TTM),17.69989
5yr Low,200.61
5yr High,612.06
5yr Avg Return,0.19228333333333336
EPS Growth 5yr,0.15147560000000002
Revenue Growth 5yr,0.05136110000000001
Dividend Growth 5yr,0.05757399999999999
Short Int Current Month,1263472.0
Short Int Prev Month,1364687.0
Short Int Pct of Float,0.027694800000000002
Days to Cover,3.74252
Float,45.62423
Shares Outstanding,50.52926
Institutions Holding Shares,1215.0
FCF Growth 5yr,0.23397370321601385
"Price/Earnings (TTM, GAAP)",21.45
"PEG Ratio (TTM, GAAP)",0.77
Gross Profit Margin (TTM),0.3785
Operating Profit Margin (TTM),0.1412
Net Profit Margin (TTM),0.1026
Annual Dividend Yield,0.011399999999999999
Dividend Change %,0.0758
"Dividend Growth Rate, 3 Years",0.060300000000000006
EPS Growth (MRQ),0.1527
EPS Growth (TTM),0.5956
Revenue Growth (MRQ),0.027400000000000004
Revenue Growth (TTM),0.17300000000000001
Return On Equity (TTM),0.6994
Return On Assets (TTM),0.2232
Return On Investment (TTM),0.3124
Revenue Per Employee (TTM),651322.0
Total Debt/Total Capital (MRQ),0.47409999999999997
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),1.46
Interest Coverage (MRQ),24.12
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2017-12-14 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-29 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
