,UNM
% Below High,0.11449999999999999
% Held by Institutions,0.8762000000000001
52-Wk Range,['22.25 - 46.64']
Annual Dividend $,1.32
Annual Dividend %,0.0318
Ask,46.62
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,35.0
Bid Size,100.0
Closing Price,41.3
Day Change $,-0.2
Day Change %,-0.0048
Day High,41.61
Day Low,40.99
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",5.9
Ex-dividend,2022-10-27 00:00:00
Ex-dividend Date,10/27/22
Historical Volatility,0.374
Last (size),43.0
Last (time),7:00p ET 11/28/22
Market Cap,8.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.04
Prev Close,41.5
Short Interest,0.0216
Today's Open,41.16
Volume,1073769.0
Volume 10-day Avg,1568690.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.49878934624697346
Growth 1yr High Est,0.4279279279279278
Growth 1yr Consensus Est,0.4633586370874506
Growth 2yr Low Est,0.24616365535288898
Growth 2yr High Est,0.22658226049393237
Growth 2yr Consensus Est,0.23637295792341068
Growth 5yr Low Est,0.06160309568884109
Growth 5yr High Est,0.06549370851584285
Growth 5yr Consensus Est,0.06354840210234197
Growth 5yr Actual/Est,0.058518294326103254
Growth 3yr Historic,-0.05284926470588239
Price/Earnings (TTM),7.03826
Price/Sales (TTM),0.69005
Price/Book (MRQ),0.95429
Price/Cash Flow (TTM),6.31389
5yr Low,9.58
5yr High,58.73
5yr Avg Return,0.007949999999999981
EPS Growth 5yr,0.0038472000000000003
Revenue Growth 5yr,0.016369599999999998
Dividend Growth 5yr,0.08727410000000001
Short Int Current Month,4270019.0
Short Int Prev Month,5206621.0
Short Int Pct of Float,0.021641599999999997
Days to Cover,2.41878
Float,197.4037
Shares Outstanding,198.9409
Institutions Holding Shares,626.0
FCF Growth 5yr,0.3375845302735592
"Price/Earnings (TTM, GAAP)",7.04
"PEG Ratio (TTM, GAAP)",0.45
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1383
Net Profit Margin (TTM),0.0998
Annual Dividend Yield,0.0318
Dividend Change %,0.0263
"Dividend Growth Rate, 3 Years",0.0608
EPS Growth (MRQ),0.1131
EPS Growth (TTM),0.5105
Revenue Growth (MRQ),-0.026000000000000002
Revenue Growth (TTM),-0.10099999999999999
Return On Equity (TTM),0.1208
Return On Assets (TTM),0.0182
Return On Investment (TTM),
Revenue Per Employee (TTM),1184594.0
Total Debt/Total Capital (MRQ),0.2837
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),12.3
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-05-12 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
