,LKQ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.1,17.67,Valuation,0.7413695529145443
Price/Sales (TTM),1.13,2.01,Valuation,0.5621890547263682
Price/Book (MRQ),2.82,7.04,Valuation,0.40056818181818177
"PEG Ratio (TTM, GAAP)",,0.5,Valuation,
Gross Profit Margin (TTM),0.406,0.3592,Profitability,1.1302895322939865
Operating Profit Margin (TTM),0.1208,0.11019999999999999,Profitability,1.0961887477313976
Net Profit Margin (TTM),0.09029999999999999,0.0812,Profitability,1.1120689655172413
Annual Dividend Yield,0.0201,0.0174,Dividend,1.1551724137931034
Dividend Change %,,0.08470000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0666,Dividend,
EPS Growth (MRQ),-0.3593,0.1691,Gowth rates,-2.124778237729154
EPS Growth (TTM),0.21710000000000002,0.35119999999999996,Gowth rates,0.6181662870159454
Revenue Growth (MRQ),-0.0709,0.0974,Gowth rates,-0.7279260780287474
Revenue Growth (TTM),0.0095,0.1319,Gowth rates,0.07202426080363912
Return On Equity (TTM),0.21239999999999998,0.389,Effectiveness,0.5460154241645243
Return On Assets (TTM),0.09720000000000001,0.1268,Effectiveness,0.7665615141955837
Return On Investment (TTM),0.121,0.1843,Effectiveness,0.6565382528486164
Revenue Per Employee (TTM),282152.0,554701.0,Effectiveness,0.5086560146817836
Total Debt/Total Capital (MRQ),0.3152,0.43810000000000004,Financial strength,0.7194704405386897
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.0046,Financial strength,0.1956521739130435
Quick Ratio (MRQ),0.67,0.85,Financial strength,0.7882352941176471
Interest Coverage (MRQ),20.94,22.65,Financial strength,0.9245033112582782
