,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,117.92,123.67,134.56,156.82,229.24,219.33,,,,,
low,111.26,82.89,86.9,76.96,147.4,151.62,,,,,
change,0.024900000000000002,-0.21989999999999998,0.47590000000000005,0.1793,0.3931,-0.1128,,,,,
Date,,,,,,,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,163.0,147.0,165.0,128.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,1458.0,1591.0,1601.0,1618.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-33.0,-40.0,-36.0,-33.0,Balance Sheet
"Total Receivables, Net",,,,,,,1425.0,1551.0,1565.0,1586.0,Balance Sheet
Invent. - Finished Goods,,,,,,,281.0,306.0,300.0,308.0,Balance Sheet
Invent. - Work In Progress,,,,,,,233.0,246.0,255.0,259.0,Balance Sheet
Invent. - Raw Materials,,,,,,,394.0,410.0,436.0,448.0,Balance Sheet
Total Inventory,,,,,,,907.0,961.0,990.0,1014.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,240.0,235.0,229.0,234.0,Balance Sheet
Total Current Assets,,,,,,,2735.0,2894.0,2949.0,2962.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,3626.0,3650.0,3592.0,3559.0,Balance Sheet
Accumulated Depreciation,,,,,,,-2149.0,-2173.0,-2141.0,-2117.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,1478.0,1478.0,1451.0,1443.0,Balance Sheet
"Goodwill, Net",,,,,,,1882.0,1890.0,1856.0,1825.0,Balance Sheet
Intangibles - Net,,,,,,,911.0,911.0,883.0,855.0,Balance Sheet
Other Long Term Assets,,,,,,,836.0,837.0,834.0,840.0,Balance Sheet
Total Assets,,,,,,,7972.0,8139.0,8092.0,8042.0,Balance Sheet
Accounts Payable,,,,,,,1299.0,1373.0,1411.0,1383.0,Balance Sheet
Accrued Expenses,,,,,,,475.0,215.0,221.0,237.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,319.0,495.0,739.0,670.0,Balance Sheet
Income Taxes Payable,,,,,,,75.0,,,,Balance Sheet
Other Current Liabilities,,,,,,,380.0,641.0,631.0,650.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,455.0,641.0,631.0,650.0,Balance Sheet
Total Current Liabilities,,,,,,,2548.0,2723.0,3001.0,2939.0,Balance Sheet
Total Long Term Debt,,,,,,,2786.0,2774.0,2493.0,2463.0,Balance Sheet
Total Debt,,,,,,,3105.0,3269.0,3232.0,3133.0,Balance Sheet
Deferred Income Tax,,,,,,,239.0,244.0,228.0,218.0,Balance Sheet
"Other Liabilities, Total",,,,,,,475.0,465.0,434.0,415.0,Balance Sheet
Total Liabilities,,,,,,,6047.0,6206.0,6156.0,6035.0,Balance Sheet
Common Stock,,,,,,,124.0,124.0,124.0,124.0,Balance Sheet
Additional Paid-In Capital,,,,,,,862.0,845.0,856.0,867.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,3881.0,4023.0,4182.0,4347.0,Balance Sheet
Treasury Stock - Common,,,,,,,-2660.0,-2799.0,-2914.0,-2962.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,-217.0,-197.0,-251.0,-309.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,-60.0,-60.0,-59.0,-58.0,Balance Sheet
Other Comprehensive Income,,,,,,,-5.0,-3.0,-2.0,-1.0,Balance Sheet
"Other Equity, Total",,,,,,,-283.0,-260.0,-311.0,-368.0,Balance Sheet
Total Equity,,,,,,,1924.0,1933.0,1937.0,2007.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,7972.0,8139.0,8092.0,8042.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,83.0,82.0,81.0,81.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,42.0,42.0,43.0,43.0,Balance Sheet
Date,,,,,,,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Income Statement
Total Revenue,,,,,,,2183.0,2349.0,2347.0,2317.0,Income Statement
"Cost of Revenue, Total",,,,,,,1598.0,1708.0,1704.0,1698.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,332.0,355.0,333.0,331.0,Income Statement
"Inter Expense,Net Operatng",,,,,,,20.0,20.0,21.0,21.0,Income Statement
"Inter/Invest Inc, Operating",,,,,,,-18.0,-4.0,0.0,-9.0,Income Statement
Restructuring Charge,,,,,,,5.0,1.0,3.0,5.0,Income Statement
Litigation,,,,,,,0.0,1.0,1.0,0.0,Income Statement
Impair-Assets Held for Use,,,,,,,1.0,0.0,0.0,0.0,Income Statement
Other Unusual Expnse (In),,,,,,,1.0,0.0,0.0,0.0,Income Statement
Unusual Expense (Income),,,,,,,7.0,2.0,3.0,5.0,Income Statement
Loss(Gain)/Sale Asts (Oper),,,,,,,0.0,,-1.0,0.0,Income Statement
Total Operating Expense,,,,,,,1940.0,2081.0,2060.0,2046.0,Income Statement
Total Operating Income,,,,,,,244.0,268.0,287.0,271.0,Income Statement
"Other, Net",,,,,,,1.0,1.0,1.0,1.0,Income Statement
Income Before Tax,,,,,,,244.0,270.0,288.0,273.0,Income Statement
Income Tax - Total,,,,,,,61.0,72.0,73.0,51.0,Income Statement
Income After Tax,,,,,,,183.0,198.0,215.0,222.0,Income Statement
Equity In Affiliates,,,,,,,0.0,0.0,0.0,0.0,Income Statement
Net Inc Before Extra Items,,,,,,,183.0,198.0,215.0,222.0,Income Statement
Total Net Income,,,,,,,183.0,198.0,215.0,222.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,183.0,198.0,215.0,222.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,183.0,198.0,215.0,222.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,83.0,82.0,82.0,81.0,Income Statement
