,AVY
% Below High,0.1233
% Held by Institutions,0.9077
52-Wk Range,['151.62 - 219.41']
Annual Dividend $,3.0
Annual Dividend %,0.015600000000000001
Ask,202.0
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.0
Bid,102.8
Bid Size,200.0
Closing Price,192.36
Day Change $,-0.65
Day Change %,-0.0034000000000000002
Day High,193.8
Day Low,191.05
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",9.89
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.331
Last (size),114.0
Last (time),5:00p ET 11/25/22
Market Cap,15.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.44
Prev Close,193.01
Short Interest,0.016200000000000003
Today's Open,193.8
Volume,186945.0
Volume 10-day Avg,555565.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.10169491525423724
Growth 1yr High Est,0.09777777777777796
Growth 1yr Consensus Est,0.0997363465160076
Growth 2yr Low Est,0.03802694480660579
Growth 2yr High Est,0.10050832208726956
Growth 2yr Consensus Est,0.06926763344693768
Growth 5yr Low Est,0.10897394108096234
Growth 5yr High Est,0.1348094047574786
Growth 5yr Consensus Est,0.12189167291922047
Growth 5yr Actual/Est,0.12319562845489945
Growth 3yr Historic,0.08267178830559113
Price/Earnings (TTM),19.44374
Price/Sales (TTM),1.69358
Price/Book (MRQ),7.77384
Price/Cash Flow (TTM),14.06847
5yr Low,76.96
5yr High,229.24
5yr Avg Return,0.12341666666666669
EPS Growth 5yr,0.2009114
Revenue Growth 5yr,0.0667634
Dividend Growth 5yr,0.107012
Short Int Current Month,1304200.0
Short Int Prev Month,1173992.0
Short Int Pct of Float,0.0162166
Days to Cover,2.19996
Float,80.45088
Shares Outstanding,80.96901
Institutions Holding Shares,918.0
FCF Growth 5yr,0.8340155415627182
"Price/Earnings (TTM, GAAP)",19.44
"PEG Ratio (TTM, GAAP)",2.68
Gross Profit Margin (TTM),0.2707
Operating Profit Margin (TTM),0.11630000000000001
Net Profit Margin (TTM),0.0889
Annual Dividend Yield,0.015600000000000001
Dividend Change %,0.12710000000000002
"Dividend Growth Rate, 3 Years",0.09789999999999999
EPS Growth (MRQ),0.0352
EPS Growth (TTM),0.1091
Revenue Growth (MRQ),-0.012700000000000001
Revenue Growth (TTM),0.11939999999999999
Return On Equity (TTM),0.4292
Return On Assets (TTM),0.10210000000000001
Return On Investment (TTM),0.15630000000000002
Revenue Per Employee (TTM),255461.0
Total Debt/Total Capital (MRQ),0.6095
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),0.66
Interest Coverage (MRQ),23.07
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-28 00:00:00
cfra since,2022-02-04 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2012-04-26 00:00:00
