,RMNI
% Above Low,0.0376
% Held by Institutions,0.7272
52-Wk Range,['3.99 - 7.25']
Annual Dividend $,
Annual Dividend %,
Ask,4.14
Ask Size,500.0
B/A Ratio,1.4
B/A Size,700x500
Beta,0.8
Bid,4.13
Bid Size,700.0
Day Change $,-0.05
Day Change %,-0.011899999999999999
Day High,4.16
Day Low,4.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.66
Ex-dividend Date,No dividend
Historical Volatility,0.623
Last (size),100.0
Last (time),12:59p ET 11/28/22
Market Cap,365.5M
"P/E Ratio (TTM, GAAP)",6.33
Prev Close,4.19
Price,4.14
Short Interest,0.034300000000000004
Today's Open,4.16
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.2727272727272727
Growth 2yr High Est,0.44444444444444464
Growth 2yr Consensus Est,0.3585858585858587
Growth 5yr Low Est,0.2727272727272727
Growth 5yr High Est,0.44444444444444464
Growth 5yr Consensus Est,0.3585858585858587
Growth 5yr Actual/Est,-1.3445569136745608
Growth 3yr Historic,-1.3446969696969697
Price/Earnings (TTM),6.32548
Price/Sales (TTM),0.92397
Price/Book (MRQ),
Price/Cash Flow (TTM),4.90876
5yr Low,2.22
5yr High,11.52
5yr Avg Return,-0.05919999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.1851005
Dividend Growth 5yr,
Short Int Current Month,1739008.0
Short Int Prev Month,2016641.0
Short Int Pct of Float,0.0343101
Days to Cover,3.13278
Float,52.09345
Shares Outstanding,88.278
Institutions Holding Shares,163.0
FCF Growth 5yr,-0.14313430895288223
"Price/Earnings (TTM, GAAP)",6.33
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6291
Operating Profit Margin (TTM),0.066
Net Profit Margin (TTM),0.182
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-4.739800000000001
EPS Growth (TTM),3.1033
Revenue Growth (MRQ),0.0072
Revenue Growth (TTM),0.10289999999999999
Return On Equity (TTM),
Return On Assets (TTM),0.2469
Return On Investment (TTM),5.7154
Revenue Per Employee (TTM),241157.0
Total Debt/Total Capital (MRQ),121.9872
Change in Debt/Total Capital Quarter over Quarter,-0.0031
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-07-01 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
