,RMNI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.33,54.08,Valuation,0.11704881656804735
Price/Sales (TTM),0.92,9.39,Valuation,0.0979765708200213
Price/Book (MRQ),,12.63,Valuation,
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6291,0.7206,Profitability,0.873022481265612
Operating Profit Margin (TTM),0.066,0.2172,Profitability,0.30386740331491713
Net Profit Margin (TTM),0.182,0.1553,Profitability,1.1719253058596266
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-4.739800000000001,-0.0752,Gowth rates,63.029255319148945
EPS Growth (TTM),3.1033,-0.2824,Gowth rates,-10.98902266288952
Revenue Growth (MRQ),0.0072,0.15560000000000002,Gowth rates,0.046272493573264774
Revenue Growth (TTM),0.10289999999999999,0.1906,Gowth rates,0.5398740818467995
Return On Equity (TTM),,0.2189,Effectiveness,
Return On Assets (TTM),0.2469,0.10740000000000001,Effectiveness,2.298882681564246
Return On Investment (TTM),5.7154,0.1387,Effectiveness,41.20692141312185
Revenue Per Employee (TTM),241157.0,667721.0,Effectiveness,0.3611643186300865
Total Debt/Total Capital (MRQ),121.9872,0.39659999999999995,Financial strength,307.58245083207265
Change in Debt/Total Capital Quarter over Quarter,-0.0031,0.0004,Financial strength,-7.749999999999999
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
