,BA
% Below High,0.2234
% Held by Institutions,0.5590999999999999
52-Wk Range,['113.02 - 229.67']
Annual Dividend $,
Annual Dividend %,
Ask,178.51
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.5
Bid,178.15
Bid Size,500.0
Closing Price,178.36
Day Change $,3.51
Day Change %,0.020099999999999996
Day High,178.46
Day Low,174.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-14.27
Ex-dividend Date,No dividend
Historical Volatility,0.478
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,106.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,174.85
Short Interest,0.0175
Today's Open,174.35
Volume,3476919.0
Volume 10-day Avg,5723818.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.7699530516431925
Growth 2yr High Est,-1.7053072625698324
Growth 2yr Consensus Est,-1.2376301571065125
Growth 5yr Low Est,-0.7699530516431925
Growth 5yr High Est,-1.7053072625698324
Growth 5yr Consensus Est,-1.2376301571065125
Growth 5yr Actual/Est,0.23135363201500947
Growth 3yr Historic,0.5656812412924404
Price/Earnings (TTM),
Price/Sales (TTM),1.73067
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,89.0
5yr High,446.01
5yr Avg Return,-0.04838333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.0780243
Dividend Growth 5yr,
Short Int Current Month,10433989.0
Short Int Prev Month,9953830.0
Short Int Pct of Float,0.0175294
Days to Cover,0.9888
Float,595.3579
Shares Outstanding,595.9832
Institutions Holding Shares,2163.0
FCF Growth 5yr,-0.3045124565841566
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-0.0141
Operating Profit Margin (TTM),-0.1199
Net Profit Margin (TTM),-0.1393
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-17.971700000000002
EPS Growth (TTM),0.0318
Revenue Growth (MRQ),-0.0435
Revenue Growth (TTM),-0.0296
Return On Equity (TTM),
Return On Assets (TTM),-0.0602
Return On Investment (TTM),-0.1573
Revenue Per Employee (TTM),432542.0
Total Debt/Total Capital (MRQ),1.4455000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.33
Interest Coverage (MRQ),-3.05
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2019-11-04 00:00:00
cfra since,2021-05-24 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-04-30 00:00:00
