,BA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,50.64,Valuation,
Price/Sales (TTM),1.73,4.74,Valuation,0.3649789029535865
Price/Book (MRQ),,4.28,Valuation,
"PEG Ratio (TTM, GAAP)",,1.95,Valuation,
Gross Profit Margin (TTM),-0.0141,0.19460000000000002,Profitability,-0.07245632065775949
Operating Profit Margin (TTM),-0.1199,-0.5263,Profitability,0.22781683450503518
Net Profit Margin (TTM),-0.1393,-0.5391,Profitability,0.25839361899462066
Annual Dividend Yield,,0.0139,Dividend,
Dividend Change %,,0.0564,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),-17.971700000000002,-3.8235,Gowth rates,4.700326925591735
EPS Growth (TTM),0.0318,0.2595,Gowth rates,0.12254335260115608
Revenue Growth (MRQ),-0.0435,0.0689,Gowth rates,-0.6313497822931784
Revenue Growth (TTM),-0.0296,0.0147,Gowth rates,-2.0136054421768708
Return On Equity (TTM),,0.1825,Effectiveness,
Return On Assets (TTM),-0.0602,0.047,Effectiveness,-1.2808510638297872
Return On Investment (TTM),-0.1573,0.0521,Effectiveness,-3.019193857965451
Revenue Per Employee (TTM),432542.0,411752.0,Effectiveness,1.050491558025219
Total Debt/Total Capital (MRQ),1.4455000000000002,0.5861,Financial strength,2.466302678723768
Change in Debt/Total Capital Quarter over Quarter,-0.0002,-0.0001,Financial strength,2.0
Quick Ratio (MRQ),0.33,1.06,Financial strength,0.3113207547169811
Interest Coverage (MRQ),-3.05,7.88,Financial strength,-0.38705583756345174
