,JAMF
% Above Low,0.0763
% Held by Institutions,0.9693
52-Wk Range,['19.20 - 40.52']
Annual Dividend $,
Annual Dividend %,
Ask,26.55
Ask Size,3900.0
B/A Ratio,0.1282051282051282
B/A Size,500x3900
Beta,
Bid,20.0
Bid Size,500.0
Closing Price,20.66
Day Change $,0.04
Day Change %,0.0019
Day High,20.87
Day Low,20.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.2
Ex-dividend Date,No dividend
Historical Volatility,0.6020000000000001
Last (size),485.0
Last (time),1:00p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,20.62
Short Interest,0.0827
Today's Open,20.33
Volume,114121.0
Volume 10-day Avg,504209.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.357142857142857
Growth 2yr High Est,1.117647058823529
Growth 2yr Consensus Est,0.737394957983193
Growth 5yr Low Est,0.357142857142857
Growth 5yr High Est,1.117647058823529
Growth 5yr Consensus Est,0.737394957983193
Growth 5yr Actual/Est,0.24603174603174605
Growth 3yr Historic,0.023809523809523798
Price/Earnings (TTM),
Price/Sales (TTM),5.54524
Price/Book (MRQ),3.79968
Price/Cash Flow (TTM),
5yr Low,19.2
5yr High,51.0
5yr Avg Return,-0.17950000000000002
Short Int Current Month,3699622.0
Short Int Prev Month,3721547.0
Short Int Pct of Float,0.0827335
Days to Cover,9.96142
Float,120.6108
Shares Outstanding,121.3873
Institutions Holding Shares,195.0
FCF Growth 5yr,-0.5066369541147653
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7436
Operating Profit Margin (TTM),-0.3102
Net Profit Margin (TTM),-0.318
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5086
EPS Growth (TTM),-1.1643000000000001
Revenue Growth (MRQ),0.0771
Revenue Growth (TTM),0.33530000000000004
Return On Equity (TTM),-0.2045
Return On Assets (TTM),-0.096
Return On Investment (TTM),-0.1236
Revenue Per Employee (TTM),204455.0
Total Debt/Total Capital (MRQ),0.3555
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),-10.33
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2021-11-12 00:00:00
researchTeam since,2021-11-12 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
