,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,51.0,49.27,39.62,,,,,
low,29.03,27.77,19.2,,,,,
change,-0.3496,0.26739999999999997,-0.45630000000000004,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,177.0,165.0,182.0,225.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,80.0,82.0,97.0,93.0,Balance Sheet
Prov. for Doubtful Accts,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Trade Accts Recvble, Net",,,,79.0,81.0,96.0,93.0,Balance Sheet
Other Receivables,,,,1.0,0.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,,80.0,81.0,97.0,93.0,Balance Sheet
Prepaid Expenses,,,,18.0,20.0,18.0,16.0,Balance Sheet
"Other Curr. Assets, Total",,,,17.0,18.0,20.0,23.0,Balance Sheet
Total Current Assets,,,,292.0,284.0,317.0,358.0,Balance Sheet
Machinery/Equipment,,,,16.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,4.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,38.0,18.0,17.0,44.0,Balance Sheet
"Goodwill, Net",,,,846.0,842.0,824.0,801.0,Balance Sheet
Intangibles - Gross,,,,406.0,405.0,399.0,391.0,Balance Sheet
Accum. Intangible Amort.,,,,-142.0,-154.0,-165.0,-176.0,Balance Sheet
Intangibles - Net,,,,265.0,251.0,234.0,215.0,Balance Sheet
Other Long Term Assets,,,,10.0,39.0,40.0,14.0,Balance Sheet
Total Assets,,,,1480.0,1466.0,1466.0,1467.0,Balance Sheet
Accounts Payable,,,,9.0,9.0,10.0,17.0,Balance Sheet
Accrued Expenses,,,,54.0,46.0,51.0,57.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,223.0,234.0,249.0,272.0,Balance Sheet
Income Taxes Payable,,,,0.0,0.0,0.0,1.0,Balance Sheet
"Other Curr. Lblts, Total",,,,223.0,235.0,250.0,272.0,Balance Sheet
Total Current Liabilities,,,,287.0,289.0,310.0,347.0,Balance Sheet
Total Long Term Debt,,,,362.0,363.0,363.0,364.0,Balance Sheet
Total Debt,,,,362.0,363.0,363.0,364.0,Balance Sheet
Deferred Income Tax,,,,9.0,8.0,8.0,5.0,Balance Sheet
"Other Liabilities, Total",,,,85.0,85.0,91.0,92.0,Balance Sheet
Total Liabilities,,,,742.0,744.0,772.0,808.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,914.0,931.0,988.0,1011.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-167.0,-193.0,-256.0,-287.0,Balance Sheet
"Other Equity, Total",,,,-8.0,-16.0,-38.0,-64.0,Balance Sheet
Total Equity,,,,738.0,722.0,694.0,660.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,1480.0,1466.0,1466.0,1467.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,119.0,120.0,120.0,121.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,103802.0,108258.0,115638.0,124557.0,Income Statement
"Cost of Revenue, Total",,,,27218.0,28189.0,29369.0,31195.0,Income Statement
Selling/Gen/Admin Expense,,,,59525.0,60235.0,65842.0,68981.0,Income Statement
Labor & Related Expense,,,,8011.0,9892.0,40019.0,12537.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,67536.0,70127.0,105861.0,81518.0,Income Statement
Research & Development,,,,23252.0,24180.0,33303.0,30144.0,Income Statement
Depreciation,,,,1253.0,1281.0,1265.0,1312.0,Income Statement
Amortiz of Intangibles,,,,7019.0,7029.0,7034.0,7040.0,Income Statement
Depreciation/Amortization,,,,8272.0,8310.0,8299.0,8352.0,Income Statement
Litigation,,,,800.0,,,,Income Statement
Other Unusual Expnse (In),,,,2804.0,1189.0,648.0,1982.0,Income Statement
Unusual Expense (Income),,,,3604.0,1189.0,648.0,1982.0,Income Statement
Total Operating Expense,,,,129882.0,131995.0,177480.0,153191.0,Income Statement
