,JAMF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),5.55,9.39,Valuation,0.5910543130990414
Price/Book (MRQ),3.8,12.63,Valuation,0.30087094220110844
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7436,0.7206,Profitability,1.031917846239245
Operating Profit Margin (TTM),-0.3102,0.2172,Profitability,-1.4281767955801103
Net Profit Margin (TTM),-0.318,0.1553,Profitability,-2.0476497102382485
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.5086,-0.0752,Gowth rates,-6.763297872340426
EPS Growth (TTM),-1.1643000000000001,-0.2824,Gowth rates,4.1228753541076495
Revenue Growth (MRQ),0.0771,0.15560000000000002,Gowth rates,0.4955012853470437
Revenue Growth (TTM),0.33530000000000004,0.1906,Gowth rates,1.7591815320041975
Return On Equity (TTM),-0.2045,0.2189,Effectiveness,-0.9342165372316125
Return On Assets (TTM),-0.096,0.10740000000000001,Effectiveness,-0.8938547486033519
Return On Investment (TTM),-0.1236,0.1387,Effectiveness,-0.8911319394376352
Revenue Per Employee (TTM),204455.0,667721.0,Effectiveness,0.3061982474716236
Total Debt/Total Capital (MRQ),0.3555,0.39659999999999995,Financial strength,0.8963691376701968
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0004,Financial strength,1.25
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-10.33,0.28,Financial strength,-36.89285714285714
