,SYNH
% Above Low,0.4698
% Held by Institutions,0.9804999999999999
52-Wk Range,['22.89 - 104.17']
Annual Dividend $,
Annual Dividend %,
Ask,33.67
Ask Size,1400.0
B/A Ratio,0.14285714285714285
B/A Size,200x1400
Beta,1.7
Bid,33.65
Bid Size,200.0
Day Change $,-0.29
Day Change %,-0.0085
Day High,34.5
Day Low,33.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.76
Ex-dividend Date,No dividend
Historical Volatility,0.7859999999999999
Last (size),109.0
Last (time),3:54p ET 11/28/22
Market Cap,3.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",12.28
Prev Close,33.94
Price,33.65
Short Interest,0.0206
Today's Open,33.74
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.06436781609195408
Growth 1yr High Est,0.12612612612612595
Growth 1yr Consensus Est,0.09524697110904001
Growth 2yr Low Est,-0.10820486085251108
Growth 2yr High Est,0.093063063063063
Growth 2yr Consensus Est,-0.007570898894724037
Growth 5yr Low Est,0.03306362019836426
Growth 5yr High Est,0.13545982010522295
Growth 5yr Consensus Est,0.0842617201517936
Growth 5yr Actual/Est,0.0727477925820505
Growth 3yr Historic,0.09091136068565409
Price/Earnings (TTM),12.28193
Price/Sales (TTM),0.64598
Price/Book (MRQ),1.0412
Price/Cash Flow (TTM),6.521
5yr Low,22.89
5yr High,104.18
5yr Avg Return,0.10135
EPS Growth 5yr,0.0199032
Revenue Growth 5yr,0.26479379999999997
Dividend Growth 5yr,
Short Int Current Month,2112577.0
Short Int Prev Month,1852168.0
Short Int Pct of Float,0.020617299999999998
Days to Cover,0.7449
Float,61.24802
Shares Outstanding,102.904
Institutions Holding Shares,480.0
FCF Growth 5yr,0.5370132167109704
"Price/Earnings (TTM, GAAP)",12.28
"PEG Ratio (TTM, GAAP)",2.35
Gross Profit Margin (TTM),0.23760000000000003
Operating Profit Margin (TTM),0.08109999999999999
Net Profit Margin (TTM),0.053099999999999994
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1182
EPS Growth (TTM),0.1589
Revenue Growth (MRQ),-0.018000000000000002
Revenue Growth (TTM),0.0857
Return On Equity (TTM),0.086
Return On Assets (TTM),0.035
Return On Investment (TTM),0.0441
Revenue Per Employee (TTM),202108.0
Total Debt/Total Capital (MRQ),0.4575
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),3616.29
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-06-17 00:00:00
theStreet since,2022-05-19 00:00:00
cfra since,2022-06-17 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
