,EW
% Above Low,0.1375
% Held by Institutions,0.8256999999999999
52-Wk Range,['67.13 - 131.73']
Annual Dividend $,
Annual Dividend %,
Ask,76.57
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,73.5
Bid Size,100.0
Closing Price,76.36
Day Change $,0.45
Day Change %,0.0059
Day High,76.47
Day Low,75.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.32
Ex-dividend Date,No dividend
Historical Volatility,0.41100000000000003
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,47.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",32.87
Prev Close,75.91
Short Interest,0.0172
Today's Open,75.95
Volume,1566760.0
Volume 10-day Avg,4408986.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.08520179372197312
Growth 1yr High Est,0.10480349344978146
Growth 1yr Consensus Est,0.09500264358587729
Growth 2yr Low Est,0.04879924396842461
Growth 2yr High Est,0.08599858466955479
Growth 2yr Consensus Est,0.0673989143189897
Growth 5yr Low Est,-0.09091569333110303
Growth 5yr High Est,-0.07712777823477104
Growth 5yr Consensus Est,-0.08402173578293703
Growth 5yr Actual/Est,0.08252794493943189
Growth 3yr Historic,0.04838709677419356
Price/Earnings (TTM),32.87398
Price/Sales (TTM),8.80167
Price/Book (MRQ),7.60677
Price/Cash Flow (TTM),29.58043
5yr Low,36.47
5yr High,131.73
5yr Avg Return,0.18811666666666663
EPS Growth 5yr,0.22264910000000002
Revenue Growth 5yr,0.1204049
Dividend Growth 5yr,
Short Int Current Month,10565988.0
Short Int Prev Month,8109240.0
Short Int Pct of Float,0.0172426
Days to Cover,1.30493
Float,612.903
Shares Outstanding,618.2605
Institutions Holding Shares,1717.0
FCF Growth 5yr,0.32111193329620796
"Price/Earnings (TTM, GAAP)",32.87
"PEG Ratio (TTM, GAAP)",3.09
Gross Profit Margin (TTM),0.7893000000000001
Operating Profit Margin (TTM),0.3123
Net Profit Margin (TTM),0.272
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1518
EPS Growth (TTM),-0.0048
Revenue Growth (MRQ),-0.04
Revenue Growth (TTM),0.0529
Return On Equity (TTM),0.2481
Return On Assets (TTM),0.17370000000000002
Return On Investment (TTM),0.1956
Revenue Per Employee (TTM),341643.0
Total Debt/Total Capital (MRQ),0.08750000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),3.0
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-11-07 00:00:00
researchTeam since,2021-04-02 00:00:00
cfra since,2021-06-02 00:00:00
ford since,2020-11-27 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
