,EW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",32.87,61.36,Valuation,0.5356910039113428
Price/Sales (TTM),8.8,9.8,Valuation,0.8979591836734694
Price/Book (MRQ),7.61,10.31,Valuation,0.7381183317167799
"PEG Ratio (TTM, GAAP)",3.09,3.02,Valuation,1.0231788079470199
Gross Profit Margin (TTM),0.7893000000000001,0.6196,Profitability,1.2738863783085863
Operating Profit Margin (TTM),0.3123,0.047,Profitability,6.64468085106383
Net Profit Margin (TTM),0.272,0.009300000000000001,Profitability,29.247311827956988
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-0.1518,-0.4858,Gowth rates,0.31247426924660354
EPS Growth (TTM),-0.0048,-0.2029,Gowth rates,0.02365697387875801
Revenue Growth (MRQ),-0.04,0.1161,Gowth rates,-0.34453057708871665
Revenue Growth (TTM),0.0529,0.18300000000000002,Gowth rates,0.2890710382513661
Return On Equity (TTM),0.2481,0.1068,Effectiveness,2.3230337078651684
Return On Assets (TTM),0.17370000000000002,0.0622,Effectiveness,2.7926045016077174
Return On Investment (TTM),0.1956,0.0732,Effectiveness,2.6721311475409837
Revenue Per Employee (TTM),341643.0,403586.0,Effectiveness,0.8465184619882751
Total Debt/Total Capital (MRQ),0.08750000000000001,0.3161,Financial strength,0.2768111357165454
Change in Debt/Total Capital Quarter over Quarter,-0.0005,0.0125,Financial strength,-0.04
Quick Ratio (MRQ),3.0,2.25,Financial strength,1.3333333333333333
Interest Coverage (MRQ),,14.99,Financial strength,
