,KMX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.47,19.03,Valuation,0.7078297425118234
Price/Sales (TTM),0.31,1.93,Valuation,0.1606217616580311
Price/Book (MRQ),1.95,92.12,Valuation,0.02116804168475901
"PEG Ratio (TTM, GAAP)",2.14,7.27,Valuation,0.2943603851444292
Gross Profit Margin (TTM),0.09390000000000001,0.34390000000000004,Profitability,0.27304448967723177
Operating Profit Margin (TTM),0.0315,0.11789999999999999,Profitability,0.26717557251908397
Net Profit Margin (TTM),0.024,0.0818,Profitability,0.293398533007335
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),-0.49600000000000005,-0.10800000000000001,Gowth rates,4.592592592592593
EPS Growth (TTM),-0.2958,0.0262,Gowth rates,-11.290076335877863
Revenue Growth (MRQ),-0.1253,0.0478,Gowth rates,-2.621338912133891
Revenue Growth (TTM),0.2933,0.0874,Gowth rates,3.3558352402745992
Return On Equity (TTM),0.15630000000000002,5.2054,Effectiveness,0.03002651093095632
Return On Assets (TTM),0.0317,0.1562,Effectiveness,0.20294494238156208
Return On Investment (TTM),0.0345,0.26,Effectiveness,0.1326923076923077
Revenue Per Employee (TTM),1031362.0,410011.0,Effectiveness,2.5154495854989256
Total Debt/Total Capital (MRQ),0.7773000000000001,0.8926999999999999,Financial strength,0.8707292483477094
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0016,Financial strength,0.0625
Quick Ratio (MRQ),0.56,0.39,Financial strength,1.435897435897436
Interest Coverage (MRQ),,13.36,Financial strength,
