,2017,2018,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,70.95,81.67,100.49,109.31,155.98,130.57,,,,,
low,64.13,55.24,57.95,37.59,92.13,54.85,,,,,
change,-0.0534,-0.023799999999999998,0.41630000000000006,0.0738,0.381,-0.4865,,,,,
Date,,,,,,,2021-11-30 00:00:00,2022-02-28 00:00:00,2022-05-31 00:00:00,2022-08-31 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,63.0,103.0,95.0,57.0,Balance Sheet
"Total Receivables, Net",,,,,,,563.0,561.0,611.0,402.0,Balance Sheet
Total Inventory,,,,,,,4659.0,5125.0,4691.0,4672.0,Balance Sheet
Restricted Cash - Current,,,,,,,552.0,548.0,531.0,533.0,Balance Sheet
Other Current Assets,,,,,,,117.0,213.0,190.0,208.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,670.0,761.0,721.0,742.0,Balance Sheet
Total Current Assets,,,,,,,5955.0,6549.0,6118.0,5872.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,4718.0,4647.0,4752.0,4857.0,Balance Sheet
Accumulated Depreciation,,,,,,,-1542.0,-1438.0,-1494.0,-1545.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,3719.0,3746.0,3792.0,3843.0,Balance Sheet
"Goodwill, Net",,,,,,,141.0,141.0,141.0,141.0,Balance Sheet
Note Rcvble - Long Term,,,,,,,15167.0,15290.0,15673.0,15961.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,134.0,121.0,91.0,93.0,Balance Sheet
Restricted Cash - LT,,,,,,,149.0,153.0,154.0,164.0,Balance Sheet
Other Long Term Assets,,,,,,,309.0,338.0,370.0,396.0,Balance Sheet
Total Assets,,,,,,,25575.0,26338.0,26339.0,26471.0,Balance Sheet
Accounts Payable,,,,,,,937.0,938.0,1067.0,929.0,Balance Sheet
Accrued Expenses,,,,,,,564.0,567.0,522.0,514.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,556.0,543.0,645.0,689.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,1.0,0.0,18.0,,Balance Sheet
Total Current Liabilities,,,,,,,2057.0,2047.0,2252.0,2132.0,Balance Sheet
Long Term Debt,,,,,,,17459.0,18175.0,17788.0,18046.0,Balance Sheet
Capital Lease Obligations,,,,,,,140.0,145.0,159.0,157.0,Balance Sheet
Total Long Term Debt,,,,,,,17599.0,18320.0,17947.0,18204.0,Balance Sheet
Total Debt,,,,,,,18155.0,18863.0,18592.0,18893.0,Balance Sheet
"Other Liabilities, Total",,,,,,,809.0,735.0,739.0,721.0,Balance Sheet
Total Liabilities,,,,,,,20465.0,21103.0,20938.0,21056.0,Balance Sheet
Common Stock,,,,,,,81.0,81.0,80.0,79.0,Balance Sheet
Additional Paid-In Capital,,,,,,,1673.0,1677.0,1678.0,1684.0,Balance Sheet
