,KMX
% Above Low,0.21710000000000002
% Held by Institutions,1.0215
52-Wk Range,['54.85 - 152.28']
Annual Dividend $,
Annual Dividend %,
Ask,79.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,64.65
Bid Size,100.0
Closing Price,66.76
Day Change $,0.17
Day Change %,0.0026
Day High,67.88
Day Low,66.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.95
Ex-dividend Date,No dividend
Historical Volatility,0.532
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,10.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.47
Prev Close,66.59
Short Interest,0.1008
Today's Open,66.14
Volume,567973.0
Volume 10-day Avg,1842157.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-22 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.5347826086956522
Growth 1yr High Est,-0.21122994652406413
Growth 1yr Consensus Est,-0.37300627760985816
Growth 2yr Low Est,-0.28452526073411893
Growth 2yr High Est,-0.02086921055016766
Growth 2yr Consensus Est,-0.1526972356421433
Growth 5yr Low Est,-0.024181800912975615
Growth 5yr High Est,0.10874179484471255
Growth 5yr Consensus Est,0.04227999696586847
Growth 5yr Actual/Est,0.02098837720347732
Growth 3yr Historic,0.09751635424795363
Price/Earnings (TTM),13.47465
Price/Sales (TTM),0.3133
Price/Book (MRQ),1.94876
Price/Cash Flow (TTM),9.68488
5yr Low,37.59
5yr High,155.98
5yr Avg Return,0.05123333333333336
EPS Growth 5yr,0.1640082
Revenue Growth 5yr,0.149783
Dividend Growth 5yr,
Short Int Current Month,15865918.0
Short Int Prev Month,13421339.0
Short Int Pct of Float,0.1007605
Days to Cover,6.44165
Float,156.3582
Shares Outstanding,158.0155
Institutions Holding Shares,865.0
FCF Growth 5yr,-0.42743242452155467
"Price/Earnings (TTM, GAAP)",13.47
"PEG Ratio (TTM, GAAP)",2.14
Gross Profit Margin (TTM),0.09390000000000001
Operating Profit Margin (TTM),0.0315
Net Profit Margin (TTM),0.024
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.49600000000000005
EPS Growth (TTM),-0.2958
Revenue Growth (MRQ),-0.1253
Revenue Growth (TTM),0.2933
Return On Equity (TTM),0.15630000000000002
Return On Assets (TTM),0.0317
Return On Investment (TTM),0.0345
Revenue Per Employee (TTM),1031362.0
Total Debt/Total Capital (MRQ),0.7773000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),0.56
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-07-08 00:00:00
theStreet since,2022-04-13 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-09-29 00:00:00
ford since,2022-07-08 00:00:00
marketEdge opinion since,
