,NVAX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),0.7,45.03,Valuation,0.015545192094159449
Price/Book (MRQ),,12.61,Valuation,
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.4893,0.5874,Profitability,0.8329928498467825
Operating Profit Margin (TTM),-0.6638,-4.7459,Profitability,0.13986809667291766
Net Profit Margin (TTM),-0.7159000000000001,-4.5467,Profitability,0.15745485736908088
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.6703,-0.0014000000000000002,Gowth rates,-478.7857142857142
EPS Growth (TTM),-0.16440000000000002,0.027200000000000002,Gowth rates,-6.044117647058823
Revenue Growth (MRQ),2.9509,1.3963999999999999,Gowth rates,2.113219707820109
Revenue Growth (TTM),0.5341,0.9747,Gowth rates,0.5479634759413153
Return On Equity (TTM),,0.1967,Effectiveness,
Return On Assets (TTM),-0.547,0.0016,Effectiveness,-341.875
Return On Investment (TTM),-1.8725,0.0219,Effectiveness,-85.50228310502284
Revenue Per Employee (TTM),1198360.0,1476201.0,Effectiveness,0.811786470812579
Total Debt/Total Capital (MRQ),,0.4675,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0016,0.0036,Financial strength,0.4444444444444445
Quick Ratio (MRQ),1.01,2.06,Financial strength,0.49029126213592233
Interest Coverage (MRQ),-30.51,2.69,Financial strength,-11.34200743494424
